id,name,lang,title,why,desc,views_med12,retry
robinhood,로빈후드,ko,로빈 후드,reject:가상 인물," / heroic outlaw in English folklore, a highly skilled archer and swordsman",4380,
hormel,호멜,ko,호멜,reject:대도시,벨라루스의 도시 / city in Belarus,420,호멜 (기업)
guerlain,겔랑,ko,겔랑,reject:정착지, / district in Singapore,810,겔랑 (브랜드)
bobbi-brown,바비 브라운,ko,보비 브라운,reject:사람,미국의 가수 (1969-) / American R&B singer (born 1969),2400,
aesop,이솝,ko,아이소포스,reject:사람, / ancient Greek storyteller (619 BC–563 BC),1920,이솝 (브랜드)
aesop,이솝,en,Aesop,reject:사람, / ancient Greek storyteller (619 BC–563 BC),317694,Aesop (brand)
the-ordinary,디 오디너리,en,Brandon Truaxe,reject:사람, / Iranian-Canadian computer scientist and entrepreneur (1978-2019),68652,
dove,도브,en,Columbidae,reject:생물 분류군,비둘기과에 속하는 새 종류를 묶어 부르는 명칭 / family of birds (Aves),398796,Dove (Unilever brand)
ryo,려,ko,초 장왕,reject:사람,중국 춘추시대 초나라의 제22대 군주 / King of Chu from 613 to 591 BC,1050,
john-deere,존디어,ko,존 디어,reject:사람, / Catholic priest from the United States,132,
milwaukee-tool,밀워키,ko,밀워키,reject:대도시,"미국 위스콘신주에 위치한 도시 / city in and county seat of Milwaukee County, and largest city",4506,밀워키 툴
li-ning,리닝,ko,리닝,reject:사람, / Chinese artistic gymnast and entrepreneur (born 1963),1242,리닝 (기업)
rapha,라파,ko,라파,reject:도시,"가자 지구 남쪽에 있는 도시 / city in the Gaza Strip, Palestine",768,
canada-goose,캐나다구스,en,Canada goose,reject:생물 분류군, / Species of wild goose,355404,Canada Goose Inc.
eider,아이더,en,Eider,reject:생물 분류군, / genus of birds,37866,Eider (brand)
k2-korea,케이투,en,K2,reject:산,인도가 주장하는 지역의 중국-파키스탄 국경에 위치한 지구에서 두 번째로 높은 산 / 2nd-highest mountain on Earth,1088904,K2 Sports
millet,밀레,ko,장프랑수아 밀레,reject:사람,프랑스 화가 / French painter (1814–1875),10890,밀레 (프랑스의 기업)
mido,미도,ko,미도,reject:사람,이집트 축구 선수 / Egyptian association football player,414,
poppi,파피,ko,파피,reject:사람, / American singer,402,
poppi,파피,en,Poppi,reject:이탈리아 코무네,이탈리아 토스카나주 아레초도의 코무네 / Italian comune,7782,Poppi (drink)
kirin,기린,ko,기린,reject:생물 분류군,기린과의 포유동물 / genus of mammals,16326,기린 맥주
sapporo,삿포로,ko,삿포로시,reject:대도시,"일본의 홋카이도 이시카리 진흥국에 있는 정령지정도시 / city on Hokkaido, Japan",26778,삿포로 TV타워
sapporo,삿포로,en,Sapporo,reject:대도시,"일본의 홋카이도 이시카리 진흥국에 있는 정령지정도시 / city on Hokkaido, Japan",391116,Sapporo Breweries
tsingtao,칭따오,ko,칭다오시,reject:대도시,"중화인민공화국 산둥 성의 부성급시 / prefecture-level city in Shandong, China",24294,
tsingtao,칭따오,en,Qingdao,reject:대도시,"중화인민공화국 산둥 성의 부성급시 / prefecture-level city in Shandong, China",286818,Tsingtao Brewery
orsted,외르스테드,ko,한스 크리스티안 외르스테드,reject:사람,"덴마크의 물리학자, 화학자 (1777–1851) / Danish physicist and chemist (1777-1851)",1446,
orsted,외르스테드,en,Hans Christian Ørsted,reject:사람,"덴마크의 물리학자, 화학자 (1777–1851) / Danish physicist and chemist (1777-1851)",61578,
klook,클룩,en,Kenny Clarke,reject:사람,미국의 드럼 연주자 (1914-1985) / American jazz drummer (1914–1985),32382,
ibis,이비스,en,Ibis,reject:생물 분류군, / subfamily of birds,186258,Ibis (hotel)
arabica,% 아라비카,ko,커피나무,reject:생물 분류군,꼭두서니과의 관목 / species of plant,4536,
don-quijote,돈키호테,ko,돈키호테,reject:문학 작품,미겔 데 세르반테스의 소설 / 1605 and 1615 novel by Miguel de Cervantes,13092,
don-quijote,돈키호테,en,Don Quixote,reject:문학 작품,미겔 데 세르반테스의 소설 / 1605 and 1615 novel by Miguel de Cervantes,1291650,Don Quijote (store)
kakao,카카오,ko,카카오,reject:생물 분류군,아메리카 열대 지역 원산지 나무 / tree native to tropical South America producing cocoa beans ,17268,카카오 (기업)
melon,멜론,ko,멜론,reject:생물 분류군,박과의 한해살이 덩굴식물 / species of plant,14364,
pagani,파가니,ko,파가니,reject:이탈리아 코무네,이탈리아 캄파니아주 살레르노도의 코무네 / Italian comune,192,파가니 (기업)
jaguar,재규어,ko,재규어,reject:생물 분류군,아메리카 원산의 표범속 고양이과 동물 / species of big cat native to the Americas,7050,재규어 E-페이스
jaguar,재규어,en,Jaguar,reject:생물 분류군,아메리카 원산의 표범속 고양이과 동물 / species of big cat native to the Americas,977394,Jaguar Cars
bosch,보쉬,en,Robert Bosch,reject:사람," / German industrialist, inventor, engineer (1861-1942)",65742,Bosch Rexroth
cuckoo,쿠쿠,en,Cuckoo,reject:생물 분류군, / family of birds,301410,
miele,밀레,ko,장프랑수아 밀레,reject:사람,프랑스 화가 / French painter (1814–1875),10890,밀레 (프랑스의 기업)
gu,지유,ko,지유,reject:사람, / South Korean actress,2490,지유 (기업)
zara,자라,ko,자라,reject:생물 분류군,파충류 거북목 자라과의 동물 / species of reptile,7428,자라 (기업)
montblanc,몽블랑,ko,몽블랑산,reject:산,"알프스 산맥의 최고봉 (4,810 m) / highest mountain in the Alps",5880,몽블랑 (기업)
marni,마르니,en,Marni,reject:동음이의, / Wikimedia disambiguation page,2838,Marni (brand)
sacai,사카이,ko,사카이,reject:도시,오사카만에 접하고 오사카시의 남쪽에 위치한 시가지를 중심으로 하는 지역 / ,336,
ferragamo,페라가모,ko,살바토레 페라가모,reject:사람, / Italian shoe designer (1898-1960),762,살바토레 페라가모 (기업)
onitsuka-tiger,오니츠카 타이거,ko,오니츠카 치히로,reject:사람,일본의 싱어송라이터 / Japanese singer-songwriter,228,
