id,name_ko,name_en,category
ferrero-rocher,페레로로쉐,Ferrero Rocher,과자·제과
deutsche-bank,도이치뱅크,Deutsche Bank,은행
facebook,페이스북,Facebook,SNS·메신저
rick-owens,릭 오웬스,Rick Owens,디자이너·스트리트
lg-electronics,LG전자,LG Electronics,스마트폰·가전
netflix,넷플릭스,Netflix,콘텐츠스트리밍
korean-air,대한항공,Korean Air,항공사
mikimoto,미키모토,Mikimoto,주얼리
ram,램,Ram Trucks,완성차
chobani,초바니,Chobani,유제품
fila-holdings,휠라홀딩스,FILA Holdings,스포츠웨어
honma,혼마,Honma Golf,골프
lg-hh,LG생활건강,LG H&H,스킨케어
discord,디스코드,Discord,SNS·메신저
in-n-out,인앤아웃,In-N-Out Burger,패스트푸드
wavve,웨이브,wavve,콘텐츠스트리밍
didi,디디추싱,DiDi,모빌리티서비스
opel,오펠,Opel,완성차
kao,카오,Kao,생활위생
locknlock,락앤락,LocknLock,주방·생활용품
shake-shack,쉐이크쉑,Shake Shack,패스트푸드
abbvie,애브비,AbbVie,제약
nescafe,네스카페,Nescafé,커피·차
cheetos,치토스,Cheetos,과자·제과
burberry,버버리,Burberry,럭셔리하우스
tapestry,태피스트리,Tapestry,가방·잡화
everland,에버랜드,Everland,크루즈·테마파크
ray-ban,레이밴,Ray-Ban,안경·아이웨어
intercontinental,인터컨티넨탈,InterContinental Hotels & Resorts,호텔·리조트
accor,아코르,Accor,호텔·리조트
supreme,슈프림,Supreme,디자이너·스트리트
samsung-fire,삼성화재,Samsung Fire & Marine Insurance,보험
tcl,TCL,TCL,스마트폰·가전
mattel,마텔,Mattel,완구·캐릭터
oriental-brewery,오비맥주,Oriental Brewery,주류
canon,캐논,Canon,음향·카메라
shiseido,시세이도,Shiseido,스킨케어
banana-milk,바나나맛우유,Banana Flavored Milk,유제품
line,라인,LINE,SNS·메신저
monster-beverage,몬스터에너지,Monster Energy,음료·탄산
maybelline,메이블린,Maybelline New York,메이크업
amer-sports,아머스포츠,Amer Sports,스포츠용품
taobao,타오바오,Taobao,이커머스
microsoft,마이크로소프트,Microsoft,소프트웨어·클라우드
leica,라이카,Leica Camera,음향·카메라
coach,코치,Coach,가방·잡화
festool,페스툴,Festool,공구
ncsoft,엔씨소프트,NCSOFT,게임사
spc-group,SPC그룹,SPC Group,베이커리·디저트
carnival-cruise,카니발 크루즈,Carnival Cruise Line,크루즈·테마파크
sharp,샤프,Sharp,스마트폰·가전
shopee,쇼피,Shopee,이커머스
mardi-mercredi,마르디 메크르디,Mardi Mercredi,디자이너·스트리트
doritos,도리토스,Doritos,과자·제과
lenovo,레노버,Lenovo,PC·주변기기
kolon-sport,코오롱스포츠,Kolon Sport,아웃도어
takeda,다케다,Takeda,제약
lamy,라미,Lamy,문구·필기구
woori-financial-group,우리금융그룹,Woori Financial Group,은행
polestar,폴스타,Polestar,전기차
jin-air,진에어,Jin Air,항공사
shell,셸,Shell,석유·가스
minecraft,마인크래프트,Minecraft,게임사
upbit,업비트,Upbit,암호화폐
wrtn,뤼튼,wrtn,AI
bic,빅,BIC,문구·필기구
reebok,리복,Reebok,스포츠웨어
edf,EDF,Électricité de France,전력·신재생
tmap-mobility,티맵모빌리티,TMAP Mobility,모빌리티서비스
sonny-angel,소니엔젤,Sonny Angel,완구·캐릭터
pop-mart,팝마트,Pop Mart,완구·캐릭터
macys,메이시스,Macy's,백화점
pull-and-bear,풀앤베어,Pull&Bear,SPA·캐주얼
snickers,스니커즈,Snickers,과자·제과
koenigsegg,코닉세그,Koenigsegg,럭셔리·슈퍼카
chipotle,치폴레,Chipotle Mexican Grill,패스트푸드
wingstop,윙스탑,Wingstop,패스트푸드
klm,KLM,KLM Royal Dutch Airlines,항공사
crocs,크록스,Crocs,신발
anua,아누아,Anua,스킨케어
jameson,제임슨,Jameson,주류
clinique,크리니크,Clinique,스킨케어
luckin-coffee,루이싱커피,Luckin Coffee,카페체인
american-express,아메리칸익스프레스,American Express,카드·결제
twitch,트위치,Twitch,콘텐츠스트리밍
puig,푸이그,Puig,향수·니치향수
daangn,당근,Daangn,공유경제·O2O
anta-sports,안타스포츠,Anta Sports,스포츠웨어
eider,아이더,Eider,아웃도어
bmw,BMW,BMW,완성차
shift-up,시프트업,SHIFT UP,게임사
clarks,클락스,Clarks,신발
barbie,바비,Barbie,완구·캐릭터
pernod-ricard,페르노리카,Pernod Ricard,주류
urusa,우루사,URSA,일반의약품·소비자헬스
teenage-engineering,틴에이지 엔지니어링,Teenage Engineering,음향·카메라
five-guys,파이브가이즈,Five Guys,패스트푸드
covernat,커버낫,Covernat,디자이너·스트리트
sk-broadband,SK브로드밴드,SK Broadband,통신사
prime-video,프라임 비디오,Prime Video,콘텐츠스트리밍
popeyes,파파이스,Popeyes,패스트푸드
messika,메시카,Messika,주얼리
kitkat,킷캣,Kit Kat,과자·제과
jw-marriott,JW 메리어트,JW Marriott,호텔·리조트
penguin-random-house,펭귄 랜덤하우스,Penguin Random House,출판
deepseek,딥시크,DeepSeek,AI
w-concept,W컨셉,W Concept,명품·패션플랫폼
kiwoom-securities,키움증권,Kiwoom Securities,증권·투자
maison-margiela,메종 마르지엘라,Maison Margiela,디자이너·스트리트
toyota,토요타,Toyota Motor,완성차
patagonia,파타고니아,Patagonia,아웃도어
shinhan-financial-group,신한금융그룹,Shinhan Financial Group,은행
audi,아우디,Audi,완성차
sulwhasoo,설화수,Sulwhasoo,럭셔리뷰티
blancpain,블랑팡,Blancpain,하이엔드시계
moet-chandon,모엣샹동,Moët & Chandon,주류
ediya,이디야커피,Ediya Coffee,카페체인
genesis,제네시스,Genesis,완성차
hermes,에르메스,Hermès,럭셔리하우스
bytedance,바이트댄스,ByteDance,SNS·메신저
ganni,가니,Ganni,컨템포러리
29cm,29CM,29CM,명품·패션플랫폼
trivago,트리바고,trivago,여행플랫폼
airasia,에어아시아,AirAsia,항공사
fritz-coffee,프릳츠,Fritz Coffee Company,카페체인
ottogi,오뚜기,Ottogi,라면·가공식품
perrier,페리에,Perrier,음료·탄산
bmw-group,BMW그룹,BMW Group,완성차
dexcom,덱스콤,Dexcom,의료기기
jtbc,JTBC,JTBC,방송·신문
montbell,몽벨,Montbell,아웃도어
s-oil,S-OIL,S-OIL,석유·가스
