id,score
chatgpt,5
3ce,5
tods,3
cuckoo,5
starlink,3
gucci,5
skoda,1
chzzk,4
pvh,0
arena,3
gap,4
zoom,5
mirae-asset-global-investments,2
cursor,2
vivienne-westwood,3
cadillac,4
pepsi,5
musinsa,5
maeil-dairies,5
ichiran,3
yamazaki,3
jack-daniels,4
lancome,4
lotte-mart,5
palace,2
michael-kors,4
google,5
oatly,2
tata-motors,1
hbo-max,3
ulta-beauty,1
huawei,4
sofitel,2
harley-davidson,5
hormel,1
swatch-group,3
yamaha-motor,4
daum,5
meiji,4
emart,5
suzuki,3
daewoong,4
hanwha-life,4
kirin,4
lotteria,5
qeelin,1
sungsimdang,5
marshall,4
kfc,5
moncler,5
dior,5
stanley,5
porsche,5
chilsung-cider,5
gymshark,3
bing,4
dior-beauty,4
capcom,3
casamia,3
chosun-ilbo,5
mercedes-benz,5
mizuno,4
spam,5
electronic-arts,4
pearl-abyss,3
bugatti,4
agoda,4
msd,1
samsung-electronics,5
tudor,2
jeju-samdasoo,5
roblox,4
norwegian-cruise-line,1
lotte-card,5
mazda,3
poppi,1
joongang-ilbo,5
stellantis,1
longines,3
breitling,3
hyatt,4
hisense,3
callaway,4
haitai,5
eland-world,3
sk-telecom,5
bobbi-brown,4
tim-hortons,3
jimmy-choo,4
van-cleef-arpels,4
inspire-brands,0
ryanair,2
celltrion,4
acura,2
dong-a-pharm,5
fnf,3
homeplus,5
harry-winston,2
marni,3
nespresso,5
universal-studios,5
goodyear,4
johnnie-walker,5
whatsapp,4
cnn,5
kakao,5
jil-sander,2
gs25,5
mini,4
studio-ghibli,5
patek-philippe,3
hazzys,4
princess-cruises,1
ajinomoto,4
volvo-cars,4
bayer,3
comme-des-garcons,4
dewalt,3
head,3
ipark,4
jim-beam,4
sk-bioscience,3
konami,4
buccellati,1
air-seoul,4
taylormade,4
subway,5
zegna,3
pilot,4
ferragamo,4
nomos-glashutte,1
brown-forman,0
apr,3
booking-com,5
smilegate,4
milwaukee-tool,3
samyang-foods,5
hillstate,4
baskin-robbins,5
mlb-fnf,5
panerai,2
jin-ramen,5
chivas-regal,4
warner-music-group,2
playstation,5
toei-animation,2
ibis,3
ana,4
starship-entertainment,3
outback,5
the-north-face,5
loewe,4
electrolux,3
ktm,3
maison-kitsune,3
knipex,1
the-economist,3
hyundai-card,5
disney-plus,5
marriott,5
raffles,2
citizenm,1
olive-young,5
millet,3
finnair,3
makita,4
bulgari,5
san-pellegrino,3
temu,5
paik-dabang,5
the-whoo,5
cgv,5
airbnb,5
knotted,4
corsair,3
volvik,3
aesop,4
coupang-play,4
renault,4
espn,4
nexen-tire,4
universal-pictures,4
ralph-lauren,5
le-coq-sportif,4
herman-miller,2
weverse,4
gemini,3
vitra,2
target,4
astrazeneca,4
petfriends,3
mytheresa,2
dr-jart,5
rolls-royce-motor-cars,5
charlotte-tilbury,3
zenith,2
mirae-asset-securities,4
myrealtrip,4
midjourney,3
kewpie,4
rimowa,5
beauty-of-joseon,4
klarna,1
dropbox,4
costco,5
saint-laurent,5
g-fore,2
deutsche-telekom,0
coty,0
kyobo-life,4
acne-studios,3
