id,score
boucheron,2
bank-of-america,3
nepa,4
jordan,5
toyota,5
system,3
china-mobile,2
patek-philippe,3
yamazaki,3
lucid,2
ediya,5
asics,4
cetaphil,3
matin-kim,4
essilorluxottica,1
general-mills,1
gsk,2
bacchus,5
samsung-cnt-fashion,3
tom-ford-beauty,3
citizenm,1
sbs,5
bayer,3
aekyung,4
lotte-card,4
framework,1
andersson-bell,2
edf,1
kfc,5
chosun-ilbo,5
tyson,2
nexon,5
loreal,4
harrods,2
pilot,3
ferragamo,4
maje,2
vf-corp,1
mirae-asset-securities,4
ryo,4
coty,1
dr-jart,4
lotte-hotel,5
citi,4
hamilton,2
ozempic,3
netflix,5
tim-hortons,2
signiel,4
eli-lilly,2
walmart,4
toblerone,4
harim,4
unilever,3
lg-gram,5
delvaux,1
swarovski,4
hyundai-department-store,5
honda,4
boehringer-ingelheim,1
bbq,5
charles-schwab,1
nintendo,5
san-pellegrino,4
jaguar-land-rover,3
airasia,3
outback,5
mitsubishi-motors,3
kadokawa,2
jellycat,3
lf,3
wells-fargo,2
stella-artois,3
the-sharp,4
discord,4
cathay-pacific,3
coca-cola,5
helinox,3
brioni,1
american-express,3
hublot,3
marriott,4
mytheresa,2
sofitel,3
medicube,4
kitkat,5
jeju-air,5
dove,4
louis-vuitton,5
korea-investment-securities,4
yakult,5
jw-marriott,4
gap,4
ritz-carlton,4
herbalife,3
verizon,2
lufthansa,3
taobao,4
modetour,4
insta360,3
adobe,4
kb-kookmin-bank,5
moleskine,3
xexymix,4
celltrion,4
otb-group,1
coupang,5
kepco,5
volkswagen,5
smithfield,1
centrum,4
acushnet,1
electrolux,3
lotte-wellfood,4
acura,2
gentle-monster,4
sony-pictures,4
ipark,4
virgin-atlantic,2
devsisters,3
danone,3
hershey,5
lotus,2
choco-pie,5
unionpay,3
terra,5
paramount,4
kakao-games,4
bmw,5
locknlock,4
crown,5
tylenol,5
sm-entertainment,5
barrel,3
sonos,2
dior-beauty,4
swatch,4
mercedes-benz,5
rick-owens,2
chzzk,4
smilegate,4
coach,4
hugo-boss,4
dong-a-pharm,5
pfizer,4
opel,1
cadbury,2
longines,3
twitch,4
milwaukee-tool,2
burger-king,5
triumph,2
booking-holdings,1
kodansha,2
stone-island,3
omega,4
hermes,4
ikea,5
van-cleef-arpels,3
ichiran,3
yuhan,4
kt,5
the-economist,2
air-premia,3
tvn,5
hyundai-card,5
android,5
sanrio,4
kb-kookmin-card,5
byc,4
colgate-palmolive,2
moderna,4
instagram,5
blue-bottle,3
axa,3
anthropic,2
tous-les-jours,5
mitsubishi-pencil,2
churchs,1
hancom,4
samsung-securities,4
salomon,3
maison-kitsune,3
compose-coffee,5
macbook,5
bmw-group,4
ping,2
mars,2
hennessy,3
penguin-random-house,1
toyoko-inn,3
fossil,3
thom-browne,3
naver,5
uniqlo,5
sega,3
chamisul,5
chivas-regal,3
klm,2
hello-kitty,5
lotte-department-store,5
breitling,2
acer,3
zenith,1
round-lab,4
biore,4
our-legacy,2
jeonggwanjang,5
chobani,1
panerai,2
google-pixel,3
raemian,5
mercedes-benz-group,4
coffee-bean,4
nio,1
netmarble,4
astrazeneca,3
comme-des-garcons,4
chungjungone,4
polestar,3
prugio,4
disney-plus,5
alfa-romeo,2
29cm,4
airpods,5
mixxo,3
spam,5
cadillac,4
auralee,1
raffles,1
gu,3
weverse,4
grab,3
korean-air,5
maison-margiela,3
max-mara,3
legoland,4
papa-johns,4
malbon-golf,2
deutsche-telekom,1
