id,name_ko,name_en,aliases,country,sector,category,brand_type,parent,tier,b2b
volkswagen-group,폭스바겐그룹,Volkswagen Group,VW그룹|폭스바겐 AG,DE,자동차·모빌리티,완성차,corporate,,mega,0
volkswagen,폭스바겐,Volkswagen,VW|폭바,DE,자동차·모빌리티,완성차,product,volkswagen-group,mega,0
audi,아우디,Audi,,DE,자동차·모빌리티,완성차,both,volkswagen-group,mega,0
porsche,포르쉐,Porsche,포르셰,DE,자동차·모빌리티,럭셔리·슈퍼카,both,volkswagen-group,mega,0
lamborghini,람보르기니,Automobili Lamborghini,람보,IT,자동차·모빌리티,럭셔리·슈퍼카,both,audi,mega,0
bentley,벤틀리,Bentley Motors,,GB,자동차·모빌리티,럭셔리·슈퍼카,both,volkswagen-group,major,0
bugatti,부가티,Bugatti,,FR,자동차·모빌리티,럭셔리·슈퍼카,both,,major,0
skoda,스코다,Škoda Auto,Skoda,CZ,자동차·모빌리티,완성차,both,volkswagen-group,major,0
cupra,쿠프라,CUPRA,,ES,자동차·모빌리티,완성차,product,volkswagen-group,niche,0
ducati,두카티,Ducati,,IT,자동차·모빌리티,이륜차,both,audi,major,0
traton,트라톤,TRATON,,DE,자동차·모빌리티,상용차,corporate,volkswagen-group,niche,1
scania,스카니아,Scania,,SE,자동차·모빌리티,상용차,both,traton,major,1
man-truck-bus,만트럭버스,MAN Truck & Bus,MAN|만트럭,DE,자동차·모빌리티,상용차,both,traton,major,1
toyota,토요타,Toyota Motor,도요타|TMC,JP,자동차·모빌리티,완성차,both,,mega,0
lexus,렉서스,Lexus,,JP,자동차·모빌리티,완성차,product,toyota,mega,0
honda,혼다,Honda Motor,,JP,자동차·모빌리티,완성차,both,,mega,0
acura,어큐라,Acura,아큐라,US,자동차·모빌리티,완성차,product,honda,major,0
nissan,닛산,Nissan Motor,,JP,자동차·모빌리티,완성차,both,,mega,0
infiniti,인피니티,Infiniti,,JP,자동차·모빌리티,완성차,product,nissan,major,0
mazda,마쓰다,Mazda,마즈다,JP,자동차·모빌리티,완성차,both,,major,0
subaru,스바루,Subaru,,JP,자동차·모빌리티,완성차,both,,major,0
mitsubishi-motors,미쓰비시자동차,Mitsubishi Motors,미쓰비시,JP,자동차·모빌리티,완성차,both,,major,0
suzuki,스즈키,Suzuki Motor,,JP,자동차·모빌리티,완성차,both,,major,0
isuzu,이스즈,Isuzu Motors,이스즈자동차,JP,자동차·모빌리티,상용차,both,,niche,1
hyundai-motor,현대자동차,Hyundai Motor,현대차|HMC,KR,자동차·모빌리티,완성차,both,hyundai-motor-group,mega,0
kia,기아,Kia,기아차|기아자동차,KR,자동차·모빌리티,완성차,both,hyundai-motor-group,mega,0
genesis,제네시스,Genesis,,KR,자동차·모빌리티,완성차,product,hyundai-motor,major,0
hyundai-mobis,현대모비스,Hyundai Mobis,모비스,KR,자동차·모빌리티,자동차부품,both,hyundai-motor-group,major,1
hyundai-wia,현대위아,Hyundai WIA,,KR,자동차·모빌리티,자동차부품,both,hyundai-motor-group,major,1
hyundai-transys,현대트랜시스,Hyundai Transys,,KR,자동차·모빌리티,자동차부품,both,hyundai-motor-group,niche,1
hyundai-kefico,현대케피코,Hyundai Kefico,케피코,KR,자동차·모빌리티,자동차부품,both,hyundai-motor-group,niche,1
kg-mobility,KG모빌리티,KG Mobility,KGM|쌍용자동차|쌍용차,KR,자동차·모빌리티,완성차,both,,major,0
renault-group,르노그룹,Renault Group,,FR,자동차·모빌리티,완성차,corporate,,major,0
renault,르노,Renault,,FR,자동차·모빌리티,완성차,product,renault-group,major,0
alpine,알핀,Alpine,알피느,FR,자동차·모빌리티,럭셔리·슈퍼카,product,renault-group,niche,0
renault-korea,르노코리아,Renault Korea,르노삼성|르노삼성자동차,KR,자동차·모빌리티,완성차,both,renault-group,major,0
general-motors,제너럴모터스,General Motors,GM,US,자동차·모빌리티,완성차,corporate,,mega,0
chevrolet,쉐보레,Chevrolet,시보레|Chevy,US,자동차·모빌리티,완성차,product,general-motors,mega,0
cadillac,캐딜락,Cadillac,,US,자동차·모빌리티,완성차,product,general-motors,major,0
gmc,GMC,GMC,,US,자동차·모빌리티,완성차,product,general-motors,major,0
gm-korea,한국GM,GM Korea,한국지엠|한국지엠주식회사,KR,자동차·모빌리티,완성차,corporate,general-motors,major,0
ford,포드,Ford Motor,,US,자동차·모빌리티,완성차,both,,mega,0
lincoln,링컨,Lincoln,,US,자동차·모빌리티,완성차,product,ford,major,0
tesla,테슬라,Tesla,,US,자동차·모빌리티,전기차,both,,mega,0
rivian,리비안,Rivian,,US,자동차·모빌리티,전기차,both,,major,0
lucid,루시드,Lucid Motors,루시드모터스,US,자동차·모빌리티,전기차,both,,niche,0
stellantis,스텔란티스,Stellantis,,NL,자동차·모빌리티,완성차,corporate,,mega,0
jeep,지프,Jeep,,US,자동차·모빌리티,완성차,product,stellantis,mega,0
ram,램,Ram Trucks,RAM|닷지 램,US,자동차·모빌리티,완성차,product,stellantis,major,0
dodge,닷지,Dodge,,US,자동차·모빌리티,완성차,product,stellantis,major,0
chrysler,크라이슬러,Chrysler,,US,자동차·모빌리티,완성차,product,stellantis,major,0
fiat,피아트,Fiat,,IT,자동차·모빌리티,완성차,product,stellantis,major,0
alfa-romeo,알파로메오,Alfa Romeo,,IT,자동차·모빌리티,완성차,product,stellantis,major,0
maserati,마세라티,Maserati,,IT,자동차·모빌리티,럭셔리·슈퍼카,product,stellantis,major,0
peugeot,푸조,Peugeot,,FR,자동차·모빌리티,완성차,product,stellantis,major,0
citroen,시트로엥,Citroën,Citroen,FR,자동차·모빌리티,완성차,product,stellantis,major,0
opel,오펠,Opel,,DE,자동차·모빌리티,완성차,product,stellantis,major,0
ferrari,페라리,Ferrari,,IT,자동차·모빌리티,럭셔리·슈퍼카,both,,mega,0
mercedes-benz-group,메르세데스-벤츠 그룹,Mercedes-Benz Group,다임러|Daimler,DE,자동차·모빌리티,완성차,corporate,,mega,0
mercedes-benz,메르세데스-벤츠,Mercedes-Benz,벤츠|Benz,DE,자동차·모빌리티,완성차,product,mercedes-benz-group,mega,0
mercedes-amg,메르세데스-AMG,Mercedes-AMG,AMG,DE,자동차·모빌리티,럭셔리·슈퍼카,product,mercedes-benz,major,0
mercedes-maybach,마이바흐,Mercedes-Maybach,메르세데스-마이바흐|Maybach,DE,자동차·모빌리티,럭셔리·슈퍼카,product,mercedes-benz,major,0
daimler-truck,다임러트럭,Daimler Truck,,DE,자동차·모빌리티,상용차,both,,major,1
bmw-group,BMW그룹,BMW Group,,DE,자동차·모빌리티,완성차,corporate,,mega,0
bmw,BMW,BMW,비엠더블유|비머,DE,자동차·모빌리티,완성차,product,bmw-group,mega,0
mini,미니,MINI,미니쿠퍼|Mini Cooper,GB,자동차·모빌리티,완성차,product,bmw-group,major,0
rolls-royce-motor-cars,롤스로이스,Rolls-Royce Motor Cars,롤스로이스 모터카,GB,자동차·모빌리티,럭셔리·슈퍼카,product,bmw-group,mega,0
jaguar-land-rover,재규어랜드로버,Jaguar Land Rover,JLR,GB,자동차·모빌리티,완성차,corporate,,major,0
land-rover,랜드로버,Land Rover,레인지로버|Range Rover,GB,자동차·모빌리티,완성차,product,jaguar-land-rover,major,0
jaguar,재규어,Jaguar,,GB,자동차·모빌리티,완성차,product,jaguar-land-rover,major,0
