id,name_ko,name_en,aliases,country,sector,category,brand_type,parent,tier,b2b
loreal,로레알,L'Oréal,로레알 그룹|L'Oreal,FR,뷰티·퍼스널케어,스킨케어,corporate,,mega,0
loreal-paris,로레알 파리,L'Oréal Paris,,FR,뷰티·퍼스널케어,메이크업,product,loreal,mega,0
lancome,랑콤,Lancôme,Lancome,FR,뷰티·퍼스널케어,럭셔리뷰티,product,loreal,mega,0
ysl-beaute,입생로랑 뷰티,YSL Beauté,입생로랑|YSL Beauty,FR,뷰티·퍼스널케어,럭셔리뷰티,product,loreal,major,0
kiehls,키엘,Kiehl's,Kiehls,US,뷰티·퍼스널케어,스킨케어,product,loreal,major,0
maybelline,메이블린,Maybelline New York,메이블린 뉴욕,US,뷰티·퍼스널케어,메이크업,product,loreal,mega,0
la-roche-posay,라로슈포제,La Roche-Posay,라로슈 포제,FR,뷰티·퍼스널케어,스킨케어,product,loreal,major,0
cerave,세라비,CeraVe,,US,뷰티·퍼스널케어,스킨케어,product,loreal,major,0
aesop,이솝,Aesop,,AU,뷰티·퍼스널케어,스킨케어,product,loreal,niche,0
3ce,쓰리씨이,3CE,3 Concept Eyes|스타일난다,KR,뷰티·퍼스널케어,메이크업,product,loreal,niche,0
estee-lauder,에스티 로더,The Estée Lauder Companies,에스티로더|Estee Lauder|ELC,US,뷰티·퍼스널케어,럭셔리뷰티,both,,mega,0
clinique,크리니크,Clinique,,US,뷰티·퍼스널케어,스킨케어,product,estee-lauder,major,0
mac-cosmetics,맥,MAC Cosmetics,M·A·C|맥 코스메틱,CA,뷰티·퍼스널케어,메이크업,product,estee-lauder,major,0
la-mer,라 메르,La Mer,Crème de la Mer|라메르,US,뷰티·퍼스널케어,럭셔리뷰티,product,estee-lauder,major,0
jo-malone,조 말론 런던,Jo Malone London,조말론,GB,뷰티·퍼스널케어,향수·니치향수,product,estee-lauder,major,0
le-labo,르 라보,Le Labo,르라보,US,뷰티·퍼스널케어,향수·니치향수,product,estee-lauder,niche,0
tom-ford-beauty,톰 포드 뷰티,Tom Ford Beauty,톰포드 뷰티,US,뷰티·퍼스널케어,럭셔리뷰티,product,estee-lauder,major,0
bobbi-brown,바비 브라운,Bobbi Brown,바비브라운,US,뷰티·퍼스널케어,메이크업,product,estee-lauder,major,0
dr-jart,닥터자르트,Dr.Jart+,Dr. Jart,KR,뷰티·퍼스널케어,스킨케어,product,estee-lauder,major,0
the-ordinary,디 오디너리,The Ordinary,DECIEM|디오디너리,CA,뷰티·퍼스널케어,스킨케어,product,estee-lauder,niche,0
dior-beauty,디올 뷰티,Dior Beauty,Parfums Christian Dior|크리스찬 디올 뷰티,FR,뷰티·퍼스널케어,럭셔리뷰티,product,lvmh,mega,0
guerlain,겔랑,Guerlain,,FR,뷰티·퍼스널케어,럭셔리뷰티,product,lvmh,major,0
fenty-beauty,펜티 뷰티,Fenty Beauty,펜티뷰티,US,뷰티·퍼스널케어,메이크업,product,lvmh,major,0
maison-francis-kurkdjian,메종 프란시스 커정,Maison Francis Kurkdjian,MFK,FR,뷰티·퍼스널케어,향수·니치향수,product,lvmh,niche,0
sephora,세포라,Sephora,,FR,뷰티·퍼스널케어,뷰티편집숍,both,lvmh,mega,0
shiseido,시세이도,Shiseido,자생당,JP,뷰티·퍼스널케어,스킨케어,both,,mega,0
nars,나스,NARS Cosmetics,NARS,US,뷰티·퍼스널케어,메이크업,product,shiseido,major,0
kao,카오,Kao,화왕,JP,뷰티·퍼스널케어,생활위생,corporate,,major,0
biore,비오레,Bioré,Biore,JP,뷰티·퍼스널케어,스킨케어,product,kao,major,0
pg,P&G,Procter & Gamble,피앤지|프록터 앤드 갬블|한국P&G,US,뷰티·퍼스널케어,생활위생,corporate,,mega,0
sk-ii,SK-II,SK-II,에스케이투|피테라,JP,뷰티·퍼스널케어,럭셔리뷰티,product,pg,major,0
pantene,팬틴,Pantene,,US,뷰티·퍼스널케어,헤어·바디,product,pg,major,0
gillette,질레트,Gillette,,US,뷰티·퍼스널케어,생활위생,product,pg,mega,0
pampers,팸퍼스,Pampers,,US,뷰티·퍼스널케어,생활위생,product,pg,mega,0
unilever,유니레버,Unilever,,GB,뷰티·퍼스널케어,생활위생,corporate,,mega,0
dove,도브,Dove,,US,뷰티·퍼스널케어,헤어·바디,product,unilever,mega,0
vaseline,바세린,Vaseline,,US,뷰티·퍼스널케어,헤어·바디,product,unilever,major,0
beiersdorf,바이어스도르프,Beiersdorf,,DE,뷰티·퍼스널케어,스킨케어,corporate,,major,0
nivea,니베아,Nivea,,DE,뷰티·퍼스널케어,스킨케어,product,beiersdorf,mega,0
la-prairie,라프레리,La Prairie,,CH,뷰티·퍼스널케어,럭셔리뷰티,product,beiersdorf,niche,0
puig,푸이그,Puig,,ES,뷰티·퍼스널케어,향수·니치향수,corporate,,major,0
byredo,바이레도,Byredo,,SE,뷰티·퍼스널케어,향수·니치향수,product,puig,niche,0
charlotte-tilbury,샬롯 틸버리,Charlotte Tilbury,샬롯틸버리,GB,뷰티·퍼스널케어,메이크업,product,puig,niche,0
coty,코티,Coty,,US,뷰티·퍼스널케어,향수·니치향수,corporate,,major,0
diptyque,딥티크,Diptyque,,FR,뷰티·퍼스널케어,향수·니치향수,both,,niche,0
clarins,클라랑스,Clarins,,FR,뷰티·퍼스널케어,럭셔리뷰티,both,,major,0
glossier,글로시에,Glossier,,US,뷰티·퍼스널케어,메이크업,both,,niche,0
rare-beauty,레어 뷰티,Rare Beauty,레어뷰티,US,뷰티·퍼스널케어,메이크업,both,,niche,0
lush,러쉬,Lush,,GB,뷰티·퍼스널케어,헤어·바디,both,,major,0
the-body-shop,더바디샵,The Body Shop,바디샵,GB,뷰티·퍼스널케어,헤어·바디,both,,major,0
ulta-beauty,얼타 뷰티,Ulta Beauty,,US,뷰티·퍼스널케어,뷰티편집숍,both,,major,0
cetaphil,세타필,Cetaphil,,CA,뷰티·퍼스널케어,스킨케어,product,galderma,major,0
amorepacific,아모레퍼시픽,Amorepacific,아모레|아모레퍼시픽그룹,KR,뷰티·퍼스널케어,스킨케어,corporate,,major,0
sulwhasoo,설화수,Sulwhasoo,,KR,뷰티·퍼스널케어,럭셔리뷰티,product,amorepacific,major,0
innisfree,이니스프리,Innisfree,,KR,뷰티·퍼스널케어,스킨케어,product,amorepacific,major,0
laneige,라네즈,Laneige,,KR,뷰티·퍼스널케어,스킨케어,product,amorepacific,major,0
hera,헤라,Hera,,KR,뷰티·퍼스널케어,메이크업,product,amorepacific,major,0
etude,에뛰드,Etude,에뛰드하우스,KR,뷰티·퍼스널케어,메이크업,product,amorepacific,major,0
ryo,려,Ryo,呂,KR,뷰티·퍼스널케어,헤어·바디,product,amorepacific,major,0
cosrx,코스알엑스,COSRX,,KR,뷰티·퍼스널케어,스킨케어,product,amorepacific,major,0
lg-hh,LG생활건강,LG H&H,엘지생활건강|LG Household & Health Care,KR,뷰티·퍼스널케어,스킨케어,corporate,lg-group,major,0
the-whoo,후,The History of Whoo,더 히스토리 오브 후|더후,KR,뷰티·퍼스널케어,럭셔리뷰티,product,lg-hh,major,0
the-face-shop,더페이스샵,The Face Shop,페이스샵,KR,뷰티·퍼스널케어,스킨케어,product,lg-hh,major,0
aekyung,애경산업,Aekyung Industrial,애경,KR,뷰티·퍼스널케어,헤어·바디,corporate,,major,0
