id,name_ko,name_en,aliases,country,sector,category,brand_type,parent,tier,b2b
lvmh,LVMH,LVMH Moët Hennessy Louis Vuitton,루이비통모에헤네시|엘브이엠에이치,FR,패션·럭셔리,럭셔리하우스,corporate,,mega,0
louis-vuitton,루이비통,Louis Vuitton,LV|루이뷔통,FR,패션·럭셔리,럭셔리하우스,product,lvmh,mega,0
dior,디올,Dior,크리스찬 디올|Christian Dior,FR,패션·럭셔리,럭셔리하우스,product,lvmh,mega,0
fendi,펜디,Fendi,,IT,패션·럭셔리,럭셔리하우스,product,lvmh,mega,0
celine,셀린느,Celine,셀린|Céline,FR,패션·럭셔리,럭셔리하우스,product,lvmh,mega,0
loewe,로에베,Loewe,,ES,패션·럭셔리,럭셔리하우스,product,lvmh,major,0
givenchy,지방시,Givenchy,,FR,패션·럭셔리,럭셔리하우스,product,lvmh,major,0
kenzo,겐조,Kenzo,,FR,패션·럭셔리,디자이너·스트리트,product,lvmh,major,0
loro-piana,로로피아나,Loro Piana,,IT,패션·럭셔리,럭셔리하우스,product,lvmh,major,0
berluti,벨루티,Berluti,,FR,패션·럭셔리,신발,product,lvmh,niche,0
rimowa,리모와,Rimowa,,DE,패션·럭셔리,가방·잡화,product,lvmh,major,0
bulgari,불가리,Bulgari,BVLGARI,IT,시계·주얼리,주얼리,product,lvmh,mega,0
tiffany,티파니,Tiffany & Co.,티파니앤코,US,시계·주얼리,주얼리,product,lvmh,mega,0
tag-heuer,태그호이어,TAG Heuer,,CH,시계·주얼리,하이엔드시계,product,lvmh,major,0
hublot,위블로,Hublot,,CH,시계·주얼리,하이엔드시계,product,lvmh,major,0
zenith,제니스,Zenith,,CH,시계·주얼리,하이엔드시계,product,lvmh,niche,0
chaumet,쇼메,Chaumet,,FR,시계·주얼리,주얼리,product,lvmh,major,0
fred,프레드,Fred,FRED,FR,시계·주얼리,주얼리,product,lvmh,niche,0
kering,케링,Kering,,FR,패션·럭셔리,럭셔리하우스,corporate,,mega,0
gucci,구찌,Gucci,,IT,패션·럭셔리,럭셔리하우스,product,kering,mega,0
saint-laurent,생로랑,Saint Laurent,입생로랑|YSL,FR,패션·럭셔리,럭셔리하우스,product,kering,mega,0
bottega-veneta,보테가 베네타,Bottega Veneta,보테가,IT,패션·럭셔리,럭셔리하우스,product,kering,major,0
balenciaga,발렌시아가,Balenciaga,,FR,패션·럭셔리,럭셔리하우스,product,kering,mega,0
alexander-mcqueen,알렉산더 맥퀸,Alexander McQueen,맥퀸,GB,패션·럭셔리,럭셔리하우스,product,kering,major,0
brioni,브리오니,Brioni,,IT,패션·럭셔리,럭셔리하우스,product,kering,niche,0
boucheron,부쉐론,Boucheron,,FR,시계·주얼리,주얼리,product,kering,major,0
pomellato,포멜라토,Pomellato,,IT,시계·주얼리,주얼리,product,kering,niche,0
qeelin,키린,Qeelin,,HK,시계·주얼리,주얼리,product,kering,niche,0
chanel,샤넬,Chanel,,FR,패션·럭셔리,럭셔리하우스,both,,mega,0
hermes,에르메스,Hermès,Hermes,FR,패션·럭셔리,럭셔리하우스,both,,mega,0
prada-group,프라다 그룹,Prada Group,Prada S.p.A.,IT,패션·럭셔리,럭셔리하우스,corporate,,major,0
prada,프라다,Prada,,IT,패션·럭셔리,럭셔리하우스,product,prada-group,mega,0
miu-miu,미우미우,Miu Miu,,IT,패션·럭셔리,럭셔리하우스,product,prada-group,major,0
