id,name_ko,name_en,aliases,country,sector,category,brand_type,parent,tier,b2b
kb-financial-group,KB금융그룹,KB Financial Group,KB금융|KB금융지주,KR,금융,은행,corporate,,major,0
kb-kookmin-bank,KB국민은행,KB Kookmin Bank,국민은행|KB,KR,금융,은행,both,kb-financial-group,major,0
kb-kookmin-card,KB국민카드,KB Kookmin Card,국민카드,KR,금융,카드·결제,both,kb-financial-group,major,0
shinhan-financial-group,신한금융그룹,Shinhan Financial Group,신한금융|신한금융지주,KR,금융,은행,corporate,,major,0
shinhan-bank,신한은행,Shinhan Bank,신한|SOL,KR,금융,은행,both,shinhan-financial-group,major,0
shinhan-card,신한카드,Shinhan Card,,KR,금융,카드·결제,both,shinhan-financial-group,major,0
hana-financial-group,하나금융그룹,Hana Financial Group,하나금융|하나금융지주,KR,금융,은행,corporate,,major,0
hana-bank,하나은행,Hana Bank,KEB하나은행|하나원큐,KR,금융,은행,both,hana-financial-group,major,0
woori-financial-group,우리금융그룹,Woori Financial Group,우리금융|우리금융지주,KR,금융,은행,corporate,,major,0
woori-bank,우리은행,Woori Bank,,KR,금융,은행,both,woori-financial-group,major,0
nh-nonghyup-bank,NH농협은행,NongHyup Bank,농협은행|농협|NH,KR,금융,은행,both,nonghyup,major,0
ibk,IBK기업은행,Industrial Bank of Korea,기업은행|IBK,KR,금융,은행,both,,major,0
kakaobank,카카오뱅크,KakaoBank,카뱅,KR,금융,은행,both,kakao,major,0
toss-bank,토스뱅크,Toss Bank,토뱅,KR,금융,은행,both,,major,0
samsung-life,삼성생명,Samsung Life Insurance,,KR,금융,보험,both,samsung-group,major,0
samsung-fire,삼성화재,Samsung Fire & Marine Insurance,,KR,금융,보험,both,samsung-group,major,0
samsung-card,삼성카드,Samsung Card,,KR,금융,카드·결제,both,samsung-group,major,0
samsung-securities,삼성증권,Samsung Securities,,KR,금융,증권·투자,both,samsung-group,major,0
hanwha-life,한화생명,Hanwha Life,,KR,금융,보험,both,hanwha-group,major,0
kyobo-life,교보생명,Kyobo Life Insurance,교보,KR,금융,보험,both,,major,0
hyundai-marine,현대해상,Hyundai Marine & Fire Insurance,하이카,KR,금융,보험,both,,major,0
hyundai-card,현대카드,Hyundai Card,,KR,금융,카드·결제,both,hyundai-motor-group,major,0
lotte-card,롯데카드,Lotte Card,,KR,금융,카드·결제,both,,niche,0
kakaopay,카카오페이,Kakao Pay,카카오페이머니,KR,금융,카드·결제,both,kakao,major,0
mirae-asset-securities,미래에셋증권,Mirae Asset Securities,,KR,금융,증권·투자,both,mirae-asset-group,major,0
mirae-asset-global-investments,미래에셋자산운용,Mirae Asset Global Investments,TIGER ETF|글로벌엑스|Global X,KR,금융,자산운용,both,mirae-asset-group,major,0
kiwoom-securities,키움증권,Kiwoom Securities,키움|영웅문,KR,금융,증권·투자,both,,major,0
korea-investment-securities,한국투자증권,Korea Investment & Securities,한투|한국투자,KR,금융,증권·투자,both,,major,0
upbit,업비트,Upbit,두나무|Dunamu,KR,금융,암호화폐,both,,major,0
bithumb,빗썸,Bithumb,,KR,금융,암호화폐,both,,major,0
jpmorgan-chase,JP모건체이스,JPMorgan Chase,JP모건|체이스|Chase|J.P. Morgan,US,금융,은행,both,,mega,0
bank-of-america,뱅크오브아메리카,Bank of America,BofA|뱅오아,US,금융,은행,both,,mega,0
citi,씨티,Citigroup,씨티은행|씨티그룹|Citibank,US,금융,은행,both,,mega,0
wells-fargo,웰스파고,Wells Fargo,,US,금융,은행,both,,major,0
goldman-sachs,골드만삭스,Goldman Sachs,골드만,US,금융,증권·투자,both,,mega,1
morgan-stanley,모건스탠리,Morgan Stanley,,US,금융,증권·투자,both,,mega,1
hsbc,HSBC,HSBC Holdings,홍콩상하이은행,GB,금융,은행,both,,mega,0
barclays,바클레이즈,Barclays,,GB,금융,은행,both,,major,0
bnp-paribas,BNP파리바,BNP Paribas,,FR,금융,은행,both,,major,0
deutsche-bank,도이치뱅크,Deutsche Bank,도이체방크,DE,금융,은행,both,,major,0
ubs,UBS,UBS Group,,CH,금융,은행,both,,major,0
icbc,중국공상은행,Industrial and Commercial Bank of China,공상은행|ICBC,CN,금융,은행,both,,major,0
mufg,미쓰비시UFJ파이낸셜그룹,Mitsubishi UFJ Financial Group,MUFG|미쓰비시UFJ,JP,금융,은행,both,,major,0
nubank,누뱅크,Nubank,Nu Holdings|누,BR,금융,은행,both,,niche,0
revolut,레볼루트,Revolut,,GB,금융,은행,both,,niche,0
monzo,몬조,Monzo,,GB,금융,은행,both,,niche,0
visa,비자,Visa,VISA,US,금융,카드·결제,both,,mega,0
mastercard,마스터카드,Mastercard,마스터,US,금융,카드·결제,both,,mega,0
american-express,아메리칸익스프레스,American Express,아멕스|Amex,US,금융,카드·결제,both,,mega,0
paypal,페이팔,PayPal,,US,금융,카드·결제,both,,mega,0
stripe,스트라이프,Stripe,,US,금융,카드·결제,both,,major,1
klarna,클라나,Klarna,클라르나,SE,금융,카드·결제,both,,niche,0
wise,와이즈,Wise,TransferWise|트랜스퍼와이즈,GB,금융,카드·결제,both,,niche,0
alipay,알리페이,Alipay,支付宝|즈푸바오,CN,금융,카드·결제,product,,major,0
unionpay,유니온페이,UnionPay,은련|银联,CN,금융,카드·결제,both,,major,0
allianz,알리안츠,Allianz,,DE,금융,보험,both,,mega,0
axa,악사,AXA,AXA손해보험,FR,금융,보험,both,,mega,0
ping-an,핑안보험,Ping An Insurance,중국평안|平安,CN,금융,보험,both,,major,0
charles-schwab,찰스슈왑,Charles Schwab,슈왑|Schwab,US,금융,증권·투자,both,,major,0
robinhood,로빈후드,Robinhood,,US,금융,증권·투자,both,,niche,0
fidelity,피델리티,Fidelity Investments,피델리티인베스트먼트,US,금융,자산운용,both,,major,0
blackrock,블랙록,BlackRock,아이셰어즈|iShares,US,금융,자산운용,both,,mega,1
vanguard,뱅가드,Vanguard,,US,금융,자산운용,both,,major,0
binance,바이낸스,Binance,,KY,금융,암호화폐,both,,major,0
coinbase,코인베이스,Coinbase,,US,금융,암호화폐,both,,major,0
tether,테더,Tether,USDT,SV,금융,암호화폐,both,,major,1
exxonmobil,엑슨모빌,ExxonMobil,엑손모빌|Exxon|Mobil|모빌,US,에너지·화학·소재,석유·가스,both,,mega,0
chevron,셰브론,Chevron,쉐브론|Texaco,US,에너지·화학·소재,석유·가스,both,,mega,0
shell,셸,Shell,쉘|Royal Dutch Shell,GB,에너지·화학·소재,석유·가스,both,,mega,0
