id,name_ko,name_en,aliases,country,sector,category,brand_type,parent,tier,b2b
coca-cola,코카콜라,Coca-Cola,코크|The Coca-Cola Company|Coke,US,식음료,음료·탄산,both,,mega,0
sprite,스프라이트,Sprite,,US,식음료,음료·탄산,product,coca-cola,mega,0
fanta,환타,Fanta,,US,식음료,음료·탄산,product,coca-cola,major,0
pepsico,펩시코,PepsiCo,,US,식음료,과자·제과,corporate,,mega,0
pepsi,펩시,Pepsi,펩시콜라,US,식음료,음료·탄산,product,pepsico,mega,0
gatorade,게토레이,Gatorade,,US,식음료,음료·탄산,product,pepsico,major,0
lays,레이즈,Lay's,,US,식음료,과자·제과,product,pepsico,mega,0
doritos,도리토스,Doritos,,US,식음료,과자·제과,product,pepsico,major,0
cheetos,치토스,Cheetos,,US,식음료,과자·제과,product,pepsico,major,0
quaker,퀘이커,Quaker Oats,퀘이커오츠,US,식음료,라면·가공식품,product,pepsico,major,0
poppi,파피,Poppi,,US,식음료,음료·탄산,product,pepsico,niche,0
red-bull,레드불,Red Bull,,AT,식음료,음료·탄산,both,,mega,0
monster-beverage,몬스터에너지,Monster Energy,몬스터|Monster Beverage,US,식음료,음료·탄산,both,,major,0
celsius,셀시어스,Celsius,,US,식음료,음료·탄산,both,,niche,0
keurig-dr-pepper,큐리그닥터페퍼,Keurig Dr Pepper,KDP,US,식음료,음료·탄산,corporate,,major,0
dr-pepper,닥터페퍼,Dr Pepper,,US,식음료,음료·탄산,product,keurig-dr-pepper,major,0
liquid-death,리퀴드데스,Liquid Death,,US,식음료,음료·탄산,both,,niche,0
olipop,올리팝,Olipop,,US,식음료,음료·탄산,both,,niche,0
fiji-water,피지워터,Fiji Water,,US,식음료,음료·탄산,product,,niche,0
nestle,네슬레,Nestlé,Nestle,CH,식음료,라면·가공식품,corporate,,mega,0
nescafe,네스카페,Nescafé,Nescafe,CH,식음료,커피·차,product,nestle,mega,0
nespresso,네스프레소,Nespresso,,CH,식음료,커피·차,product,nestle,major,0
kitkat,킷캣,Kit Kat,KitKat,CH,식음료,과자·제과,product,nestle,mega,0
maggi,매기,Maggi,,CH,식음료,조미료·소스,product,nestle,major,0
perrier,페리에,Perrier,,FR,식음료,음료·탄산,product,nestle,major,0
san-pellegrino,산펠레그리노,S.Pellegrino,San Pellegrino,IT,식음료,음료·탄산,product,nestle,major,0
blue-bottle,블루보틀,Blue Bottle Coffee,,US,외식,카페체인,both,nestle,niche,0
danone,다논,Danone,다농,FR,식음료,유제품,corporate,,mega,0
evian,에비앙,Evian,,FR,식음료,음료·탄산,product,danone,major,0
lactalis,락탈리스,Lactalis,,FR,식음료,유제품,corporate,,major,0
yakult,야쿠르트,Yakult,,JP,식음료,유제품,both,,major,0
chobani,초바니,Chobani,,US,식음료,유제품,both,,niche,0
oatly,오틀리,Oatly,,SE,식음료,유제품,both,,niche,0
mondelez,몬델리즈,Mondelez International,,US,식음료,과자·제과,corporate,,mega,0
oreo,오레오,Oreo,,US,식음료,과자·제과,product,mondelez,mega,0
cadbury,캐드버리,Cadbury,,GB,식음료,과자·제과,product,mondelez,major,0
toblerone,토블론,Toblerone,,CH,식음료,과자·제과,product,mondelez,major,0
