id,name_ko,sector,ko_sum,ko_med
mbc,MBC,통신·미디어·엔터,9118669,8658144
kbs,KBS,통신·미디어·엔터,3781458,3587778
youtube,유튜브,인터넷·플랫폼·게임,1087608,851628
kakaotalk,카카오톡,인터넷·플랫폼·게임,625226,768954
instagram,인스타그램,인터넷·플랫폼·게임,598144,588780
naver,네이버,인터넷·플랫폼·게임,343102,339444
chatgpt,챗GPT,인터넷·플랫폼·게임,281706,258612
coupang,쿠팡,유통·이커머스,171536,133740
netflix,넷플릭스,인터넷·플랫폼·게임,128200,128082
google,구글,인터넷·플랫폼·게임,168391,123138
canva,캔바,전자·IT,94614,101460
daum,다음,인터넷·플랫폼·게임,201933,80688
minecraft,마인크래프트,인터넷·플랫폼·게임,64778,66924
anthropic,앤트로픽,인터넷·플랫폼·게임,54325,60084
samsung-electronics,삼성전자,전자·IT,65732,59070
facebook,페이스북,인터넷·플랫폼·게임,47584,46932
roblox,로블록스,인터넷·플랫폼·게임,54715,46638
telegram,텔레그램,인터넷·플랫폼·게임,40724,44694
pinterest,핀터레스트,인터넷·플랫폼·게임,39674,42870
kg-mobility,KG모빌리티,자동차·모빌리티,37316,41832
sm-entertainment,SM엔터테인먼트,통신·미디어·엔터,37520,34818
homeplus,홈플러스,유통·이커머스,37641,34710
x-twitter,엑스(트위터),인터넷·플랫폼·게임,114544,34641
eastar-jet,이스타항공,여행·항공·호텔,36949,34368
discord,디스코드,인터넷·플랫폼·게임,35727,33240
yg-entertainment,YG엔터테인먼트,통신·미디어·엔터,33745,33084
chamisul,참이슬,식음료,27692,33048
musinsa,무신사,유통·이커머스,40207,29658
hyundai-motor,현대자동차,자동차·모빌리티,26514,26256
tiktok,틱톡,인터넷·플랫폼·게임,25852,25212
apr,에이피알,뷰티·퍼스널케어,30245,25200
sbs,SBS,통신·미디어·엔터,25404,24606
starbucks,스타벅스,외식,32769,24366
korean-air,대한항공,여행·항공·호텔,22517,22608
amazon,아마존,유통·이커머스,23294,22512
hybe,하이브,통신·미디어·엔터,25609,22320
airbnb,에어비앤비,여행·항공·호텔,24826,21828
openai,오픈AI,인터넷·플랫폼·게임,29563,21546
tesla,테슬라,자동차·모빌리티,21072,21396
shein,쉬인,유통·이커머스,24731,21288
kakao-friends,카카오프렌즈,생활·가구·완구,22517,20892
goodai-global,구다이글로벌,뷰티·퍼스널케어,14839,20754
iphone,아이폰,전자·IT,21265,20316
jin-air,진에어,여행·항공·호텔,25287,20196
air-premia,에어프레미아,여행·항공·호텔,20706,20076
microsoft,마이크로소프트,전자·IT,22289,20058
spotify,스포티파이,인터넷·플랫폼·게임,22196,19938
starship-entertainment,스타쉽엔터테인먼트,통신·미디어·엔터,20329,19680
oriental-brewery,오비맥주,식음료,22819,19584
sungsimdang,성심당,외식,19842,19494
baskin-robbins,배스킨라빈스,외식,19557,19434
renault-korea,르노코리아,자동차·모빌리티,19722,18858
jtbc,JTBC,통신·미디어·엔터,34115,18366
gong-cha,공차,외식,18848,18210
polestar,폴스타,자동차·모빌리티,24427,17916
twosome-place,투썸플레이스,외식,21641,16464
studio-ghibli,스튜디오 지브리,통신·미디어·엔터,17713,16428
apple,애플,전자·IT,16849,16224
daiso,다이소,유통·이커머스,18488,15930
kia,기아,자동차·모빌리티,15165,15906
naver-webtoon,네이버웹툰,인터넷·플랫폼·게임,16293,15636
eland-world,이랜드월드,패션·럭셔리,20098,15546
aliexpress,알리익스프레스,유통·이커머스,15382,15516
jyp-entertainment,JYP엔터테인먼트,통신·미디어·엔터,16694,15348
lvmh,LVMH,패션·럭셔리,14451,14904
disney-plus,디즈니플러스,인터넷·플랫폼·게임,14789,14736
tving,티빙,인터넷·플랫폼·게임,19023,14250
agoda,아고다,여행·항공·호텔,15289,14244
gmarket,G마켓,유통·이커머스,19074,14028
whatsapp,왓츠앱,인터넷·플랫폼·게임,16577,13836
patagonia,파타고니아,스포츠·아웃도어,13544,13662
the-north-face,노스페이스,스포츠·아웃도어,15949,13482
ikea,이케아,생활·가구·완구,12872,13386
linkedin,링크드인,인터넷·플랫폼·게임,12907,13284
chosun-ilbo,조선일보,통신·미디어·엔터,13280,13272
spc-group,SPC그룹,외식,13688,13206
bithumb,빗썸,금융,15741,13164
costco,코스트코,유통·이커머스,13797,13116
yokohama-tire,요코하마타이어,자동차·모빌리티,13170,13080
asiana-airlines,아시아나항공,여행·항공·호텔,14671,13038
8seconds,에잇세컨즈,패션·럭셔리,14980,12972
trip-com,트립닷컴,여행·항공·호텔,14234,12768
labubu,라부부,생활·가구·완구,45866,12468
olive-young,올리브영,뷰티·퍼스널케어,18217,12324
kakao,카카오,인터넷·플랫폼·게임,13087,12264
kt,KT,통신·미디어·엔터,11878,11904
naver-band,밴드,인터넷·플랫폼·게임,10890,11814
toss-bank,토스뱅크,금융,13093,11790
kakao-entertainment,카카오엔터테인먼트,통신·미디어·엔터,12664,11742
lotte-world,롯데월드,여행·항공·호텔,12148,11472
shinsegae-department-store,신세계백화점,유통·이커머스,12105,11442
upbit,업비트,금융,12689,11316
hello-kitty,헬로키티,생활·가구·완구,11125,11274
cartier,까르띠에,시계·주얼리,11510,11220
starlink,스타링크,통신·미디어·엔터,13293,11094
uniqlo,유니클로,패션·럭셔리,13533,11082
mcdonalds,맥도날드,외식,11076,10974
airpods,에어팟,전자·IT,10370,10848
pepsi,펩시,식음료,10582,10746
hermes,에르메스,패션·럭셔리,9180,10746
big-hit-music,빅히트 뮤직,통신·미디어·엔터,16011,10638
amorepacific,아모레퍼시픽,뷰티·퍼스널케어,10404,10452
stonehenge,스톤헨지,시계·주얼리,11452,10428
lotteria,롯데리아,외식,11383,10374
haagen-dazs,하겐다즈,식음료,9696,10266
hitejinro,하이트진로,식음료,13987,10236
cgv,CGV,통신·미디어·엔터,10941,10014
meta,메타,인터넷·플랫폼·게임,11931,9918
paypal,페이팔,금융,12749,9894
tylenol,타이레놀,제약·헬스케어,10816,9714
midjourney,미드저니,인터넷·플랫폼·게임,12545,9690
burger-king,버거킹,외식,10546,9684
emart,이마트,유통·이커머스,11415,9672
emart-traders,트레이더스,유통·이커머스,11415,9672
yahoo,야후,인터넷·플랫폼·게임,9576,9672
nintendo,닌텐도,인터넷·플랫폼·게임,9333,9648
ipad,아이패드,전자·IT,11498,9426
binance,바이낸스,금융,13609,9408
kepco,한국전력,에너지·화학·소재,9055,9372
everland,에버랜드,여행·항공·호텔,10338,9348
hana-bank,하나은행,금융,10388,9324
sk-broadband,SK브로드밴드,통신·미디어·엔터,9426,9306
jeju-air,제주항공,여행·항공·호텔,10564,9270
woori-bank,우리은행,금융,10993,9228
kweichow-moutai,마오타이,식음료,9345,9150
tencent,텐센트,인터넷·플랫폼·게임,9359,9120
gentle-monster,젠틀몬스터,패션·럭셔리,10004,9108
hm,H&M,패션·럭셔리,10635,9054
lg-electronics,LG전자,전자·IT,11382,9030
gm-korea,한국GM,자동차·모빌리티,9286,8970
android,안드로이드,인터넷·플랫폼·게임,9268,8868
buldak,불닭볶음면,식음료,9870,8784
tvn,tvN,통신·미디어·엔터,9226,8760
seven-eleven,세븐일레븐,유통·이커머스,9316,8742
pubg,배틀그라운드,인터넷·플랫폼·게임,9248,8724
wrtn,뤼튼,인터넷·플랫폼·게임,8704,8706
riot-games,라이엇 게임즈,인터넷·플랫폼·게임,15063,8706
kfc,KFC,외식,8254,8700
ohouse,오늘의집,유통·이커머스,12520,8682
joongang-ilbo,중앙일보,통신·미디어·엔터,13333,8634
mercedes-benz,메르세데스-벤츠,자동차·모빌리티,9388,8622
nike,나이키,스포츠·아웃도어,9037,8604
cathay-pacific,캐세이퍼시픽,여행·항공·호텔,9454,8496
stussy,스투시,패션·럭셔리,10328,8484
shin-ramyun,신라면,식음료,8306,8466
ibk,IBK기업은행,금융,8485,8280
watcha,왓챠,인터넷·플랫폼·게임,8428,8250
lg-uplus,LG유플러스,통신·미디어·엔터,8476,8148
weverse,위버스,인터넷·플랫폼·게임,7901,8076
tous-les-jours,뚜레쥬르,외식,8402,8052
