id,name_ko,sector,ko_sum,ko_med
youtube,유튜브,인터넷·플랫폼·게임,1087608,851628
kakaotalk,카카오톡,인터넷·플랫폼·게임,625226,768954
instagram,인스타그램,인터넷·플랫폼·게임,598144,588780
coupang,쿠팡,유통·이커머스,171536,133740
homeplus,홈플러스,유통·이커머스,37641,34710
musinsa,무신사,유통·이커머스,40207,29658
samsung-electronics,삼성전자,전자·IT,65732,59070
iphone,아이폰,전자·IT,21265,20316
microsoft,마이크로소프트,전자·IT,22289,20058
chamisul,참이슬,식음료,27692,33048
pepsi,펩시,식음료,10582,10746
haagen-dazs,하겐다즈,식음료,9696,10266
hyundai-motor,현대자동차,자동차·모빌리티,26514,26256
tesla,테슬라,자동차·모빌리티,21072,21396
mercedes-benz,메르세데스-벤츠,자동차·모빌리티,9388,8622
starbucks,스타벅스,외식,32769,24366
sungsimdang,성심당,외식,19842,19494
baskin-robbins,배스킨라빈스,외식,19557,19434
korean-air,대한항공,여행·항공·호텔,22517,22608
airbnb,에어비앤비,여행·항공·호텔,24826,21828
lotte-world,롯데월드,여행·항공·호텔,12148,11472
kakao-friends,카카오프렌즈,생활·가구·완구,22517,20892
ikea,이케아,생활·가구·완구,12872,13386
labubu,라부부,생활·가구·완구,45866,12468
studio-ghibli,스튜디오 지브리,통신·미디어·엔터,17713,16428
kt,KT,통신·미디어·엔터,11878,11904
cgv,CGV,통신·미디어·엔터,10941,10014
the-north-face,노스페이스,스포츠·아웃도어,15949,13482
nike,나이키,스포츠·아웃도어,9037,8604
new-balance,뉴발란스,스포츠·아웃도어,6651,5832
bithumb,빗썸,금융,15741,13164
toss-bank,토스뱅크,금융,13093,11790
hana-bank,하나은행,금융,10388,9324
uniqlo,유니클로,패션·럭셔리,13533,11082
hermes,에르메스,패션·럭셔리,9180,10746
gentle-monster,젠틀몬스터,패션·럭셔리,10004,9108
hera,헤라,뷰티·퍼스널케어,8092,7458
vaseline,바세린,뷰티·퍼스널케어,4637,4476
lush,러쉬,뷰티·퍼스널케어,3000,2520
cartier,까르띠에,시계·주얼리,11510,11220
omega,오메가,시계·주얼리,14127,4107
swarovski,스와로브스키,시계·주얼리,3995,2940
tylenol,타이레놀,제약·헬스케어,10816,9714
dong-a-pharm,동아제약,제약·헬스케어,4384,4722
urusa,우루사,제약·헬스케어,5535,4698
naver,네이버,인터넷·플랫폼·게임,343102,339444
chatgpt,챗GPT,인터넷·플랫폼·게임,281706,258612
netflix,넷플릭스,인터넷·플랫폼·게임,128200,128082
daum,다음,인터넷·플랫폼·게임,201933,80688
x-twitter,엑스(트위터),인터넷·플랫폼·게임,114544,34641
tiktok,틱톡,인터넷·플랫폼·게임,25852,25212
amazon,아마존,유통·이커머스,23294,22512
spotify,스포티파이,인터넷·플랫폼·게임,22196,19938
gong-cha,공차,외식,18848,18210
twosome-place,투썸플레이스,외식,21641,16464
daiso,다이소,유통·이커머스,18488,15930
aliexpress,알리익스프레스,유통·이커머스,15382,15516
disney-plus,디즈니플러스,인터넷·플랫폼·게임,14789,14736
gmarket,G마켓,유통·이커머스,19074,14028
costco,코스트코,유통·이커머스,13797,13116
shinsegae-department-store,신세계백화점,유통·이커머스,12105,11442
hello-kitty,헬로키티,생활·가구·완구,11125,11274
mcdonalds,맥도날드,외식,11076,10974
burger-king,버거킹,외식,10546,9684
nintendo,닌텐도,인터넷·플랫폼·게임,9333,9648
jeju-air,제주항공,여행·항공·호텔,10564,9270
woori-bank,우리은행,금융,10993,9228
hm,H&M,패션·럭셔리,10635,9054
lg-electronics,LG전자,전자·IT,11382,9030
buldak,불닭볶음면,식음료,9870,8784
seven-eleven,세븐일레븐,유통·이커머스,9316,8742
pubg,배틀그라운드,인터넷·플랫폼·게임,9248,8724
kfc,KFC,외식,8254,8700
ohouse,오늘의집,유통·이커머스,12520,8682
shin-ramyun,신라면,식음료,8306,8466
ibk,IBK기업은행,금융,8485,8280
bmw,BMW,자동차·모빌리티,8340,8016
sk-telecom,SK텔레콤,통신·미디어·엔터,8017,7920
moms-touch,맘스터치,외식,8676,7860
binggrae,빙그레,식음료,8698,7794
cu,CU,유통·이커머스,9520,7698
volkswagen,폭스바겐,자동차·모빌리티,7698,7608
coca-cola,코카콜라,식음료,7272,7518
ottogi,오뚜기,식음료,7459,7506
zara,자라,패션·럭셔리,7395,7500
daangn,당근,인터넷·플랫폼·게임,8699,7392
toss,토스,인터넷·플랫폼·게임,8057,7362
lego,레고,생활·가구·완구,7533,7344
heineken,하이네켄,식음료,7349,7296
muji,무인양품,유통·이커머스,8935,7242
kb-kookmin-bank,KB국민은행,금융,7331,7182
nexon,넥슨,인터넷·플랫폼·게임,7755,7122
louis-vuitton,루이비통,패션·럭셔리,7389,6954
shinhan-bank,신한은행,금융,6970,6912
line,라인,인터넷·플랫폼·게임,7543,6900
snickers,스니커즈,식음료,6735,6792
red-bull,레드불,식음료,6681,6534
toyota,토요타,자동차·모빌리티,6975,6480
nh-nonghyup-bank,NH농협은행,금융,6783,6366
