id,name_ko,sector,ko_sum,ko_med
mbc,MBC,통신·미디어·엔터,9118669,8658144
kbs,KBS,통신·미디어·엔터,3781458,3587778
sm-entertainment,SM엔터테인먼트,통신·미디어·엔터,37520,34818
youtube,유튜브,인터넷·플랫폼·게임,1087608,851628
kakaotalk,카카오톡,인터넷·플랫폼·게임,625226,768954
instagram,인스타그램,인터넷·플랫폼·게임,598144,588780
coupang,쿠팡,유통·이커머스,171536,133740
homeplus,홈플러스,유통·이커머스,37641,34710
musinsa,무신사,유통·이커머스,40207,29658
canva,캔바,전자·IT,94614,101460
samsung-electronics,삼성전자,전자·IT,65732,59070
iphone,아이폰,전자·IT,21265,20316
kg-mobility,KG모빌리티,자동차·모빌리티,37316,41832
hyundai-motor,현대자동차,자동차·모빌리티,26514,26256
tesla,테슬라,자동차·모빌리티,21072,21396
eastar-jet,이스타항공,여행·항공·호텔,36949,34368
korean-air,대한항공,여행·항공·호텔,22517,22608
airbnb,에어비앤비,여행·항공·호텔,24826,21828
chamisul,참이슬,식음료,27692,33048
oriental-brewery,오비맥주,식음료,22819,19584
pepsi,펩시,식음료,10582,10746
apr,에이피알,뷰티·퍼스널케어,30245,25200
goodai-global,구다이글로벌,뷰티·퍼스널케어,14839,20754
olive-young,올리브영,뷰티·퍼스널케어,18217,12324
starbucks,스타벅스,외식,32769,24366
sungsimdang,성심당,외식,19842,19494
baskin-robbins,배스킨라빈스,외식,19557,19434
kakao-friends,카카오프렌즈,생활·가구·완구,22517,20892
ikea,이케아,생활·가구·완구,12872,13386
labubu,라부부,생활·가구·완구,45866,12468
eland-world,이랜드월드,패션·럭셔리,20098,15546
lvmh,LVMH,패션·럭셔리,14451,14904
8seconds,에잇세컨즈,패션·럭셔리,14980,12972
patagonia,파타고니아,스포츠·아웃도어,13544,13662
the-north-face,노스페이스,스포츠·아웃도어,15949,13482
nike,나이키,스포츠·아웃도어,9037,8604
bithumb,빗썸,금융,15741,13164
toss-bank,토스뱅크,금융,13093,11790
upbit,업비트,금융,12689,11316
cartier,까르띠에,시계·주얼리,11510,11220
stonehenge,스톤헨지,시계·주얼리,11452,10428
patek-philippe,파텍필립,시계·주얼리,5276,4896
tylenol,타이레놀,제약·헬스케어,10816,9714
yuhan,유한양행,제약·헬스케어,9034,7674
hanmi,한미약품,제약·헬스케어,6058,6198
kepco,한국전력,에너지·화학·소재,9055,9372
s-oil,S-OIL,에너지·화학·소재,6428,5694
gs-caltex,GS칼텍스,에너지·화학·소재,4923,4506
korea-post,우체국,물류,6903,6168
yamato-transport,야마토운수,물류,509,504
usps,미국우정청,물류,338,390
harim,하림,농업·식품원료,5155,4434
tyson,타이슨푸드,농업·식품원료,979,948
hormel,호멜,농업·식품원료,637,612
hillstate,힐스테이트,산업재·중공업,2799,2736
prugio,푸르지오,산업재·중공업,3209,2520
e-pyeonhan-sesang,e편한세상,산업재·중공업,3209,2364
naver,네이버,인터넷·플랫폼·게임,343102,339444
chatgpt,챗GPT,인터넷·플랫폼·게임,281706,258612
netflix,넷플릭스,인터넷·플랫폼·게임,128200,128082
google,구글,인터넷·플랫폼·게임,168391,123138
daum,다음,인터넷·플랫폼·게임,201933,80688
minecraft,마인크래프트,인터넷·플랫폼·게임,64778,66924
anthropic,앤트로픽,인터넷·플랫폼·게임,54325,60084
facebook,페이스북,인터넷·플랫폼·게임,47584,46932
roblox,로블록스,인터넷·플랫폼·게임,54715,46638
telegram,텔레그램,인터넷·플랫폼·게임,40724,44694
pinterest,핀터레스트,인터넷·플랫폼·게임,39674,42870
x-twitter,엑스(트위터),인터넷·플랫폼·게임,114544,34641
discord,디스코드,인터넷·플랫폼·게임,35727,33240
yg-entertainment,YG엔터테인먼트,통신·미디어·엔터,33745,33084
tiktok,틱톡,인터넷·플랫폼·게임,25852,25212
sbs,SBS,통신·미디어·엔터,25404,24606
amazon,아마존,유통·이커머스,23294,22512
hybe,하이브,통신·미디어·엔터,25609,22320
openai,오픈AI,인터넷·플랫폼·게임,29563,21546
shein,쉬인,유통·이커머스,24731,21288
jin-air,진에어,여행·항공·호텔,25287,20196
air-premia,에어프레미아,여행·항공·호텔,20706,20076
microsoft,마이크로소프트,전자·IT,22289,20058
spotify,스포티파이,인터넷·플랫폼·게임,22196,19938
renault-korea,르노코리아,자동차·모빌리티,19722,18858
jtbc,JTBC,통신·미디어·엔터,34115,18366
gong-cha,공차,외식,18848,18210
polestar,폴스타,자동차·모빌리티,24427,17916
twosome-place,투썸플레이스,외식,21641,16464
studio-ghibli,스튜디오 지브리,통신·미디어·엔터,17713,16428
apple,애플,전자·IT,16849,16224
daiso,다이소,유통·이커머스,18488,15930
naver-webtoon,네이버웹툰,인터넷·플랫폼·게임,16293,15636
aliexpress,알리익스프레스,유통·이커머스,15382,15516
jyp-entertainment,JYP엔터테인먼트,통신·미디어·엔터,16694,15348
disney-plus,디즈니플러스,인터넷·플랫폼·게임,14789,14736
tving,티빙,인터넷·플랫폼·게임,19023,14250
agoda,아고다,여행·항공·호텔,15289,14244
gmarket,G마켓,유통·이커머스,19074,14028
chosun-ilbo,조선일보,통신·미디어·엔터,13280,13272
spc-group,SPC그룹,외식,13688,13206
costco,코스트코,유통·이커머스,13797,13116
yokohama-tire,요코하마타이어,자동차·모빌리티,13170,13080
trip-com,트립닷컴,여행·항공·호텔,14234,12768
kt,KT,통신·미디어·엔터,11878,11904
lotte-world,롯데월드,여행·항공·호텔,12148,11472
shinsegae-department-store,신세계백화점,유통·이커머스,12105,11442
hello-kitty,헬로키티,생활·가구·완구,11125,11274
starlink,스타링크,통신·미디어·엔터,13293,11094
uniqlo,유니클로,패션·럭셔리,13533,11082
mcdonalds,맥도날드,외식,11076,10974
hermes,에르메스,패션·럭셔리,9180,10746
big-hit-music,빅히트 뮤직,통신·미디어·엔터,16011,10638
amorepacific,아모레퍼시픽,뷰티·퍼스널케어,10404,10452
lotteria,롯데리아,외식,11383,10374
haagen-dazs,하겐다즈,식음료,9696,10266
hitejinro,하이트진로,식음료,13987,10236
paypal,페이팔,금융,12749,9894
midjourney,미드저니,인터넷·플랫폼·게임,12545,9690
burger-king,버거킹,외식,10546,9684
emart,이마트,유통·이커머스,11415,9672
yahoo,야후,인터넷·플랫폼·게임,9576,9672
binance,바이낸스,금융,13609,9408
hana-bank,하나은행,금융,10388,9324
sk-broadband,SK브로드밴드,통신·미디어·엔터,9426,9306
jeju-air,제주항공,여행·항공·호텔,10564,9270
woori-bank,우리은행,금융,10993,9228
kweichow-moutai,마오타이,식음료,9345,9150
gentle-monster,젠틀몬스터,패션·럭셔리,10004,9108
hm,H&M,패션·럭셔리,10635,9054
lg-electronics,LG전자,전자·IT,11382,9030
gm-korea,한국GM,자동차·모빌리티,9286,8970
buldak,불닭볶음면,식음료,9870,8784
seven-eleven,세븐일레븐,유통·이커머스,9316,8742
kfc,KFC,외식,8254,8700
ohouse,오늘의집,유통·이커머스,12520,8682
joongang-ilbo,중앙일보,통신·미디어·엔터,13333,8634
mercedes-benz,메르세데스-벤츠,자동차·모빌리티,9388,8622
cathay-pacific,캐세이퍼시픽,여행·항공·호텔,9454,8496
stussy,스투시,패션·럭셔리,10328,8484
shin-ramyun,신라면,식음료,8306,8466
ibk,IBK기업은행,금융,8485,8280
lg-uplus,LG유플러스,통신·미디어·엔터,8476,8148
bmw,BMW,자동차·모빌리티,8340,8016
bmw-group,BMW그룹,자동차·모빌리티,8340,8016
sk-telecom,SK텔레콤,통신·미디어·엔터,8017,7920
emirates,에미레이트항공,여행·항공·호텔,7747,7884
moms-touch,맘스터치,외식,8676,7860
binggrae,빙그레,식음료,8698,7794
cu,CU,유통·이커머스,9520,7698
pg,P&G,뷰티·퍼스널케어,7611,7692
volkswagen,폭스바겐,자동차·모빌리티,7698,7608
coca-cola,코카콜라,식음료,7272,7518
ottogi,오뚜기,식음료,7459,7506
zara,자라,패션·럭셔리,7395,7500
porsche,포르쉐,자동차·모빌리티,8147,7476
lenovo,레노버,전자·IT,8532,7476
hera,헤라,뷰티·퍼스널케어,8092,7458
montbell,몽벨,스포츠·아웃도어,8832,7446
qatar-airways,카타르항공,여행·항공·호텔,7434,7446
descente,데상트,스포츠·아웃도어,7525,7386
lego,레고,생활·가구·완구,7533,7344
heineken,하이네켄,식음료,7349,7296
renault,르노,자동차·모빌리티,8635,7248
muji,무인양품,유통·이커머스,8935,7242
kb-kookmin-bank,KB국민은행,금융,7331,7182
taobao,타오바오,유통·이커머스,7076,7182
quaker,퀘이커,식음료,6925,7122
mercedes-maybach,마이바흐,자동차·모빌리티,7301,7032
louis-vuitton,루이비통,패션·럭셔리,7389,6954
nongshim,농심,식음료,7311,6948
shinhan-bank,신한은행,금융,6970,6912
raspberry-pi,라즈베리 파이,전자·IT,7659,6870
samyang-foods,삼양식품,식음료,7739,6798
snickers,스니커즈,식음료,6735,6792
marithe-francois-girbaud,마리떼 프랑소와 저버,패션·럭셔리,6501,6756
red-bull,레드불,식음료,6681,6534
lacoste,라코스테,패션·럭셔리,6710,6492
toyota,토요타,자동차·모빌리티,6975,6480
uber,우버,자동차·모빌리티,6453,6438
jpmorgan-chase,JP모건체이스,금융,6174,6378
nh-nonghyup-bank,NH농협은행,금융,6783,6366
heytea,헤이티,외식,6240,6306
imax,아이맥스,통신·미디어·엔터,23310,6300
hankook-tire,한국타이어,자동차·모빌리티,6313,6180
bottega-veneta,보테가 베네타,패션·럭셔리,5809,6000
haitai,해태제과,식음료,6759,5958
outback,아웃백,외식,6345,5958
yuhan-kimberly,유한킴벌리,뷰티·퍼스널케어,7472,5898
new-balance,뉴발란스,스포츠·아웃도어,6651,5832
gs25,GS25,유통·이커머스,5997,5826
celltrion,셀트리온,제약·헬스케어,8655,5778
axa,악사,금융,5981,5580
stellantis,스텔란티스,자동차·모빌리티,5585,5556
huawei,화웨이,전자·IT,5783,5502
nepa,네파,스포츠·아웃도어,6169,5490
chanel,샤넬,패션·럭셔리,6304,5466
dji,DJI,전자·IT,5331,5394
megabox,메가박스,통신·미디어·엔터,7316,5352
marina-bay-sands,마리나 베이 샌즈,여행·항공·호텔,5387,5334
disney-parks,디즈니랜드,여행·항공·호텔,5740,5328
dr-pepper,닥터페퍼,식음료,5768,5292
ebay,이베이,유통·이커머스,5643,5292
