id,name_ko,sector,ko_sum,ko_med
youtube,유튜브,인터넷·플랫폼·게임,1087608,851628
kakaotalk,카카오톡,인터넷·플랫폼·게임,625226,768954
instagram,인스타그램,인터넷·플랫폼·게임,598144,588780
coupang,쿠팡,유통·이커머스,171536,133740
homeplus,홈플러스,유통·이커머스,37641,34710
musinsa,무신사,유통·이커머스,40207,29658
canva,캔바,전자·IT,94614,101460
samsung-electronics,삼성전자,전자·IT,65732,59070
iphone,아이폰,전자·IT,21265,20316
kg-mobility,KG모빌리티,자동차·모빌리티,37316,41832
hyundai-motor,현대자동차,자동차·모빌리티,26514,26256
tesla,테슬라,자동차·모빌리티,21072,21396
eastar-jet,이스타항공,여행·항공·호텔,36949,34368
korean-air,대한항공,여행·항공·호텔,22517,22608
airbnb,에어비앤비,여행·항공·호텔,24826,21828
chamisul,참이슬,식음료,27692,33048
pepsi,펩시,식음료,10582,10746
haagen-dazs,하겐다즈,식음료,9696,10266
starbucks,스타벅스,외식,32769,24366
sungsimdang,성심당,외식,19842,19494
baskin-robbins,배스킨라빈스,외식,19557,19434
kakao-friends,카카오프렌즈,생활·가구·완구,22517,20892
ikea,이케아,생활·가구·완구,12872,13386
labubu,라부부,생활·가구·완구,45866,12468
studio-ghibli,스튜디오 지브리,통신·미디어·엔터,17713,16428
kt,KT,통신·미디어·엔터,11878,11904
starlink,스타링크,통신·미디어·엔터,13293,11094
patagonia,파타고니아,스포츠·아웃도어,13544,13662
the-north-face,노스페이스,스포츠·아웃도어,15949,13482
nike,나이키,스포츠·아웃도어,9037,8604
bithumb,빗썸,금융,15741,13164
toss-bank,토스뱅크,금융,13093,11790
upbit,업비트,금융,12689,11316
uniqlo,유니클로,패션·럭셔리,13533,11082
hermes,에르메스,패션·럭셔리,9180,10746
gentle-monster,젠틀몬스터,패션·럭셔리,10004,9108
olive-young,올리브영,뷰티·퍼스널케어,18217,12324
hera,헤라,뷰티·퍼스널케어,8092,7458
vaseline,바세린,뷰티·퍼스널케어,4637,4476
cartier,까르띠에,시계·주얼리,11510,11220
stonehenge,스톤헨지,시계·주얼리,11452,10428
patek-philippe,파텍필립,시계·주얼리,5276,4896
tylenol,타이레놀,제약·헬스케어,10816,9714
yuhan,유한양행,제약·헬스케어,9034,7674
hanmi,한미약품,제약·헬스케어,6058,6198
naver,네이버,인터넷·플랫폼·게임,343102,339444
chatgpt,챗GPT,인터넷·플랫폼·게임,281706,258612
netflix,넷플릭스,인터넷·플랫폼·게임,128200,128082
daum,다음,인터넷·플랫폼·게임,201933,80688
minecraft,마인크래프트,인터넷·플랫폼·게임,64778,66924
roblox,로블록스,인터넷·플랫폼·게임,54715,46638
telegram,텔레그램,인터넷·플랫폼·게임,40724,44694
pinterest,핀터레스트,인터넷·플랫폼·게임,39674,42870
x-twitter,엑스(트위터),인터넷·플랫폼·게임,114544,34641
discord,디스코드,인터넷·플랫폼·게임,35727,33240
tiktok,틱톡,인터넷·플랫폼·게임,25852,25212
amazon,아마존,유통·이커머스,23294,22512
shein,쉬인,유통·이커머스,24731,21288
air-premia,에어프레미아,여행·항공·호텔,20706,20076
spotify,스포티파이,인터넷·플랫폼·게임,22196,19938
renault-korea,르노코리아,자동차·모빌리티,19722,18858
gong-cha,공차,외식,18848,18210
polestar,폴스타,자동차·모빌리티,24427,17916
twosome-place,투썸플레이스,외식,21641,16464
daiso,다이소,유통·이커머스,18488,15930
aliexpress,알리익스프레스,유통·이커머스,15382,15516
disney-plus,디즈니플러스,인터넷·플랫폼·게임,14789,14736
agoda,아고다,여행·항공·호텔,15289,14244
gmarket,G마켓,유통·이커머스,19074,14028
costco,코스트코,유통·이커머스,13797,13116
yokohama-tire,요코하마타이어,자동차·모빌리티,13170,13080
trip-com,트립닷컴,여행·항공·호텔,14234,12768
lotte-world,롯데월드,여행·항공·호텔,12148,11472
shinsegae-department-store,신세계백화점,유통·이커머스,12105,11442
hello-kitty,헬로키티,생활·가구·완구,11125,11274
mcdonalds,맥도날드,외식,11076,10974
paypal,페이팔,금융,12749,9894
midjourney,미드저니,인터넷·플랫폼·게임,12545,9690
burger-king,버거킹,외식,10546,9684
yahoo,야후,인터넷·플랫폼·게임,9576,9672
nintendo,닌텐도,인터넷·플랫폼·게임,9333,9648
binance,바이낸스,금융,13609,9408
hana-bank,하나은행,금융,10388,9324
sk-broadband,SK브로드밴드,통신·미디어·엔터,9426,9306
jeju-air,제주항공,여행·항공·호텔,10564,9270
woori-bank,우리은행,금융,10993,9228
kweichow-moutai,마오타이,식음료,9345,9150
hm,H&M,패션·럭셔리,10635,9054
lg-electronics,LG전자,전자·IT,11382,9030
buldak,불닭볶음면,식음료,9870,8784
seven-eleven,세븐일레븐,유통·이커머스,9316,8742
pubg,배틀그라운드,인터넷·플랫폼·게임,9248,8724
wrtn,뤼튼,인터넷·플랫폼·게임,8704,8706
riot-games,라이엇 게임즈,인터넷·플랫폼·게임,15063,8706
kfc,KFC,외식,8254,8700
ohouse,오늘의집,유통·이커머스,12520,8682
