id,name_ko,sector,ko_sum,ko_med
mbc,MBC,통신·미디어·엔터,9118669,8658144
kbs,KBS,통신·미디어·엔터,3781458,3587778
youtube,유튜브,인터넷·플랫폼·게임,1087608,851628
kakaotalk,카카오톡,인터넷·플랫폼·게임,625226,768954
instagram,인스타그램,인터넷·플랫폼·게임,598144,588780
naver,네이버,인터넷·플랫폼·게임,343102,339444
chatgpt,챗GPT,인터넷·플랫폼·게임,281706,258612
daum,다음,인터넷·플랫폼·게임,201933,80688
coupang,쿠팡,유통·이커머스,171536,133740
google,구글,인터넷·플랫폼·게임,168391,123138
netflix,넷플릭스,인터넷·플랫폼·게임,128200,128082
x-twitter,엑스(트위터),인터넷·플랫폼·게임,114544,34641
canva,캔바,전자·IT,94614,101460
samsung-electronics,삼성전자,전자·IT,65732,59070
minecraft,마인크래프트,인터넷·플랫폼·게임,64778,66924
roblox,로블록스,인터넷·플랫폼·게임,54715,46638
anthropic,앤트로픽,인터넷·플랫폼·게임,54325,60084
facebook,페이스북,인터넷·플랫폼·게임,47584,46932
labubu,라부부,생활·가구·완구,45866,12468
telegram,텔레그램,인터넷·플랫폼·게임,40724,44694
musinsa,무신사,유통·이커머스,40207,29658
pinterest,핀터레스트,인터넷·플랫폼·게임,39674,42870
homeplus,홈플러스,유통·이커머스,37641,34710
sm-entertainment,SM엔터테인먼트,통신·미디어·엔터,37520,34818
kg-mobility,KG모빌리티,자동차·모빌리티,37316,41832
eastar-jet,이스타항공,여행·항공·호텔,36949,34368
discord,디스코드,인터넷·플랫폼·게임,35727,33240
jtbc,JTBC,통신·미디어·엔터,34115,18366
yg-entertainment,YG엔터테인먼트,통신·미디어·엔터,33745,33084
starbucks,스타벅스,외식,32769,24366
apr,에이피알,뷰티·퍼스널케어,30245,25200
openai,오픈AI,인터넷·플랫폼·게임,29563,21546
chamisul,참이슬,식음료,27692,33048
hyundai-motor,현대자동차,자동차·모빌리티,26514,26256
tiktok,틱톡,인터넷·플랫폼·게임,25852,25212
hybe,하이브,통신·미디어·엔터,25609,22320
sbs,SBS,통신·미디어·엔터,25404,24606
jin-air,진에어,여행·항공·호텔,25287,20196
airbnb,에어비앤비,여행·항공·호텔,24826,21828
shein,쉬인,유통·이커머스,24731,21288
polestar,폴스타,자동차·모빌리티,24427,17916
imax,아이맥스,통신·미디어·엔터,23310,6300
amazon,아마존,유통·이커머스,23294,22512
oriental-brewery,오비맥주,식음료,22819,19584
kakao-friends,카카오프렌즈,생활·가구·완구,22517,20892
korean-air,대한항공,여행·항공·호텔,22517,22608
microsoft,마이크로소프트,전자·IT,22289,20058
spotify,스포티파이,인터넷·플랫폼·게임,22196,19938
twosome-place,투썸플레이스,외식,21641,16464
iphone,아이폰,전자·IT,21265,20316
tesla,테슬라,자동차·모빌리티,21072,21396
air-premia,에어프레미아,여행·항공·호텔,20706,20076
starship-entertainment,스타쉽엔터테인먼트,통신·미디어·엔터,20329,19680
eland-world,이랜드월드,패션·럭셔리,20098,15546
sungsimdang,성심당,외식,19842,19494
renault-korea,르노코리아,자동차·모빌리티,19722,18858
baskin-robbins,배스킨라빈스,외식,19557,19434
gmarket,G마켓,유통·이커머스,19074,14028
tving,티빙,인터넷·플랫폼·게임,19023,14250
gong-cha,공차,외식,18848,18210
daiso,다이소,유통·이커머스,18488,15930
olive-young,올리브영,뷰티·퍼스널케어,18217,12324
studio-ghibli,스튜디오 지브리,통신·미디어·엔터,17713,16428
apple,애플,전자·IT,16849,16224
jyp-entertainment,JYP엔터테인먼트,통신·미디어·엔터,16694,15348
whatsapp,왓츠앱,인터넷·플랫폼·게임,16577,13836
barrel,배럴,스포츠·아웃도어,16406,5106
naver-webtoon,네이버웹툰,인터넷·플랫폼·게임,16293,15636
big-hit-music,빅히트 뮤직,통신·미디어·엔터,16011,10638
the-north-face,노스페이스,스포츠·아웃도어,15949,13482
bithumb,빗썸,금융,15741,13164
aliexpress,알리익스프레스,유통·이커머스,15382,15516
agoda,아고다,여행·항공·호텔,15289,14244
kia,기아,자동차·모빌리티,15165,15906
riot-games,라이엇 게임즈,인터넷·플랫폼·게임,15063,8706
8seconds,에잇세컨즈,패션·럭셔리,14980,12972
goodai-global,구다이글로벌,뷰티·퍼스널케어,14839,20754
disney-plus,디즈니플러스,인터넷·플랫폼·게임,14789,14736
asiana-airlines,아시아나항공,여행·항공·호텔,14671,13038
mlb-fnf,MLB,패션·럭셔리,14627,4577
lvmh,LVMH,패션·럭셔리,14451,14904
skyscanner,스카이스캐너,여행·항공·호텔,14296,5040
trip-com,트립닷컴,여행·항공·호텔,14234,12768
omega,오메가,시계·주얼리,14127,4107
hitejinro,하이트진로,식음료,13987,10236
costco,코스트코,유통·이커머스,13797,13116
spc-group,SPC그룹,외식,13688,13206
binance,바이낸스,금융,13609,9408
kurly,컬리,유통·이커머스,13602,4986
patagonia,파타고니아,스포츠·아웃도어,13544,13662
uniqlo,유니클로,패션·럭셔리,13533,11082
joongang-ilbo,중앙일보,통신·미디어·엔터,13333,8634
starlink,스타링크,통신·미디어·엔터,13293,11094
chosun-ilbo,조선일보,통신·미디어·엔터,13280,13272
yokohama-tire,요코하마타이어,자동차·모빌리티,13170,13080
toss-bank,토스뱅크,금융,13093,11790
kakao,카카오,인터넷·플랫폼·게임,13087,12264
linkedin,링크드인,인터넷·플랫폼·게임,12907,13284
ikea,이케아,생활·가구·완구,12872,13386
paypal,페이팔,금융,12749,9894
upbit,업비트,금융,12689,11316
smilegate,스마일게이트,인터넷·플랫폼·게임,12671,8004
kakao-entertainment,카카오엔터테인먼트,통신·미디어·엔터,12664,11742
midjourney,미드저니,인터넷·플랫폼·게임,12545,9690
ohouse,오늘의집,유통·이커머스,12520,8682
lotte-world,롯데월드,여행·항공·호텔,12148,11472
shinsegae-department-store,신세계백화점,유통·이커머스,12105,11442
meta,메타,인터넷·플랫폼·게임,11931,9918
kt,KT,통신·미디어·엔터,11878,11904
cartier,까르띠에,시계·주얼리,11510,11220
ipad,아이패드,전자·IT,11498,9426
stonehenge,스톤헨지,시계·주얼리,11452,10428
emart,이마트,유통·이커머스,11415,9672
emart-traders,트레이더스,유통·이커머스,11415,9672
lotteria,롯데리아,외식,11383,10374
lg-electronics,LG전자,전자·IT,11382,9030
hello-kitty,헬로키티,생활·가구·완구,11125,11274
mcdonalds,맥도날드,외식,11076,10974
woori-bank,우리은행,금융,10993,9228
cgv,CGV,통신·미디어·엔터,10941,10014
naver-band,밴드,인터넷·플랫폼·게임,10890,11814
tylenol,타이레놀,제약·헬스케어,10816,9714
hm,H&M,패션·럭셔리,10635,9054
pepsi,펩시,식음료,10582,10746
jeju-air,제주항공,여행·항공·호텔,10564,9270
burger-king,버거킹,외식,10546,9684
amorepacific,아모레퍼시픽,뷰티·퍼스널케어,10404,10452
hana-bank,하나은행,금융,10388,9324
airpods,에어팟,전자·IT,10370,10848
ozempic,오젬픽,제약·헬스케어,10359,3229
wegovy,위고비,제약·헬스케어,10359,3229
everland,에버랜드,여행·항공·호텔,10338,9348
stussy,스투시,패션·럭셔리,10328,8484
gentle-monster,젠틀몬스터,패션·럭셔리,10004,9108
buldak,불닭볶음면,식음료,9870,8784
haagen-dazs,하겐다즈,식음료,9696,10266
michelin,미쉐린,자동차·모빌리티,9654,3714
paris-baguette,파리바게뜨,외식,9609,2469
yahoo,야후,인터넷·플랫폼·게임,9576,9672
cu,CU,유통·이커머스,9520,7698
mega-coffee,메가커피,외식,9515,3912
cathay-pacific,캐세이퍼시픽,여행·항공·호텔,9454,8496
sk-broadband,SK브로드밴드,통신·미디어·엔터,9426,9306
mercedes-benz,메르세데스-벤츠,자동차·모빌리티,9388,8622
tencent,텐센트,인터넷·플랫폼·게임,9359,9120
kweichow-moutai,마오타이,식음료,9345,9150
nintendo,닌텐도,인터넷·플랫폼·게임,9333,9648
seven-eleven,세븐일레븐,유통·이커머스,9316,8742
gm-korea,한국GM,자동차·모빌리티,9286,8970
android,안드로이드,인터넷·플랫폼·게임,9268,8868
pubg,배틀그라운드,인터넷·플랫폼·게임,9248,8724
tvn,tvN,통신·미디어·엔터,9226,8760
hermes,에르메스,패션·럭셔리,9180,10746
steam,스팀,인터넷·플랫폼·게임,9120,6000
kepco,한국전력,에너지·화학·소재,9055,9372
nike,나이키,스포츠·아웃도어,9037,8604
yuhan,유한양행,제약·헬스케어,9034,7674
muji,무인양품,유통·이커머스,8935,7242
sono-hotels,소노호텔앤리조트,여행·항공·호텔,8912,0
montbell,몽벨,스포츠·아웃도어,8832,7446
wrtn,뤼튼,인터넷·플랫폼·게임,8704,8706
daangn,당근,인터넷·플랫폼·게임,8699,7392
binggrae,빙그레,식음료,8698,7794
kith,키스,패션·럭셔리,8684,2482
moms-touch,맘스터치,외식,8676,7860
chzzk,치지직,인터넷·플랫폼·게임,8663,7272
celltrion,셀트리온,제약·헬스케어,8655,5778
renault,르노,자동차·모빌리티,8635,7248
renault-group,르노그룹,자동차·모빌리티,8635,2174
lenovo,레노버,전자·IT,8532,7476
ibk,IBK기업은행,금융,8485,8280
lg-uplus,LG유플러스,통신·미디어·엔터,8476,8148
watcha,왓챠,인터넷·플랫폼·게임,8428,8250
tous-les-jours,뚜레쥬르,외식,8402,8052
air-busan,에어부산,여행·항공·호텔,8395,7632
bmw,BMW,자동차·모빌리티,8340,8016
bmw-group,BMW그룹,자동차·모빌리티,8340,8016
shin-ramyun,신라면,식음료,8306,8466
kfc,KFC,외식,8254,8700
porsche,포르쉐,자동차·모빌리티,8147,7476
perplexity,퍼플렉시티,인터넷·플랫폼·게임,8126,7188
hera,헤라,뷰티·퍼스널케어,8092,7458
toss,토스,인터넷·플랫폼·게임,8057,7362
sk-telecom,SK텔레콤,통신·미디어·엔터,8017,7920
weverse,위버스,인터넷·플랫폼·게임,7901,8076
cj-enm,CJ ENM,통신·미디어·엔터,7837,7506
deepseek,딥시크,인터넷·플랫폼·게임,7789,7512
nexon,넥슨,인터넷·플랫폼·게임,7755,7122
emirates,에미레이트항공,여행·항공·호텔,7747,7884
samyang-foods,삼양식품,식음료,7739,6798
volkswagen,폭스바겐,자동차·모빌리티,7698,7608
raspberry-pi,라즈베리 파이,전자·IT,7659,6870
lotte-department-store,롯데백화점,유통·이커머스,7654,7446
pg,P&G,뷰티·퍼스널케어,7611,7692
line,라인,인터넷·플랫폼·게임,7543,6900
lego,레고,생활·가구·완구,7533,7344
descente,데상트,스포츠·아웃도어,7525,7386
wavve,웨이브,인터넷·플랫폼·게임,7489,7452
yuhan-kimberly,유한킴벌리,뷰티·퍼스널케어,7472,5898
ottogi,오뚜기,식음료,7459,7506
